|gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC
1997|SNXUSDC|None|None|None|SNX-USDC|SNX-USDC
1998|MATICUSDC|None|None|None|MATIC-USDC|MATIC-USDC
1999|UPYUSDT|None|None|None|None|None
2000|AXUSDT|None|None|None|None|None
2001|UMAETH|None|None|None|None|None
2002|MEDAMONUSDT|None|None|medamonusdt|None|None
2003|SUNETH|None|None|suneth|None|None
2004|BLANKV2USDT|None|None|None|None|None
2005|WBTCBTC|None|None|wbtcbtc|WBTC-BTC|WBTC-BTC
2006|BTTUSDD|None|None|bttusdd|None|None
2007|WATERUSDT|None|None|None|None|None
2008|FNFUSDT|None|None|None|None|None
2009|BOBPUPPYUSDT|None|None|None|None|None
2010|MINTIUSDT|None|None|None|None|None
2011|MEEUSDT|None|None|None|None|None
2012|OCTUSDT|None|None|octusdt|None|None
2013|SHIBAUSDT|None|None|None|None|None
2014|IRLUSDT|None|None|None|None|None
2015|BTCUSDX|None|BTC_USDX|None|None|None
2016|MESAUSDT|None|None|mesausdt|None|None
2017|ZENUSDT|None|None|zenusdt|None|None
2018|OKTUSDT|None|None|None|OKT-USDT|OKT-USDT
2019|AIPLAYUSDT|None|None|None|None|None
2020|NAOSUSDT|None|None|None|None|None
2021|EVOUSDT|None|None|None|None|None
2022|ADABTC|None|ADA_BTC|adabtc|ADA-BTC|ADA-BTC
2023|AFCUSDT|None|None|None|None|None
2024|XDBUSDT|None|None|None|None|None
2025|CHZUSDT|CHZ-USDT|CHZ_USDT|chzusdt|CHZ-USDT|CHZ-USDT
2026|ABSUSDT|None|None|None|None|None
2027|EGGUSDT|None|None|None|None|None
2028|MMVGUSDT|None|None|None|None|None
2029|SCTUSDT|None|None|None|None|None
2030|ZAXUSDT|None|None|None|None|None
2031|SPAUSDT|None|None|spausdt|None|None
2032|CALUSDT|None|None|None|None|None
2033|PCUSDT|None|None|None|None|None
2034|SDEXUSDT|None|None|None|None|None
2035|APX1USDT|None|None|None|None|None
2036|EMTUSDT|None|None|None|None|None
2037|UNLEASHUSDT|None|None|None|None|None
2038|VRSUSDT|None|None|None|None|None
2039|MANCUSDT|None|None|None|None|None
2040|CUSDUSDT|None|None|cusdusdt|None|None
2041|MLNUSDT|None|None|mlnusdt|MLN-USDT|MLN-USDT
2042|ZKIDUSDT|None|None|None|None|None
2043|CHEQUSDT|None|None|None|None|None
2044|DAIBTC|None|DAI_BTC|None|None|None
2045|KSMBTC|None|None|None|None|None
2046|PIASUSDT|None|None|None|None|None
2047|BNBTUSD|None|None|None|None|None
2048|XAI1USDT|None|None|None|None|None
2049|RIFBTC|None|None|None|None|None
2050|HSFUSDT|None|None|hsfusdt|None|None
2051|SYSUSDT|None|None|sysusdt|None|None
2052|SWEATUSDT|None|None|sweatusdt|SWEAT-USDT|SWEAT-USDT
2053|KISHUUSDT|None|None|None|KISHU-USDT|KISHU-USDT
2054|UFTUSDT|None|None|uftusdt|None|None
2055|ACMUSDT|None|None|None|None|None
2056|SGEUSDT|None|None|None|None|None
2057|DTEUSDT|None|None|None|None|None
2058|MSTRUSDT|None|None|None|None|None
2059|UTKUSDT|None|None|utkusdt|UTK-USDT|UTK-USDT
2060|SEILORUSDT|None|None|None|None|None
2061|KDGUSDT|None|None|None|None|None
2062|GROK2USDT|None|None|None|None|None
2063|XETUSDT|None|None|None|None|None
2064|AICOIN1USDT|None|None|None|None|None
2065|ARETH|None|None|None|None|None
2066|LETUSDT|None|None|None|LET-USDT|LET-USDT
2067|KBCUSDT|None|None|None|None|None
2068|ALGOUSDT|None|ALGO_USDT|algousdt|ALGO-USDT|ALGO-USDT
2069|SOILUSDT|None|None|None|None|None
2070|CENNZUSDT|None|None|None|None|None
2071|EQBUSDT|None|None|None|None|None
2072|UUSDT|None|None|None|None|None
2073|FIDUSDT|None|None|None|None|None
2074|GNOUSDT|None|None|gnousdt|None|None
2075|CRETAUSDT|None|None|None|None|None
2076|FMCUSDT|None|None|None|None|None
2077|LBLUSDT|None|None|lblusdt|None|None
2078|ARWUSDT|None|None|None|None|None
2079|MLAUSDT|None|None|None|None|None
2080|RAMUSDT|None|None|None|None|None
2081|INSTUSDT|None|None|None|None|None
2082|BENDUSDT|None|None|None|None|None
2083|XAIUSDT|None|None|None|None|None
2084|HNBUSDT|None|None|None|None|None
2085|QTUMETH|None|QTUM_ETH|None|None|None
2086|SFARMUSDT|None|None|None|None|None
2087|SOONUSDT|None|None|None|None|None
2088|SMARTUSDT|None|None|None|None|None
2089|MPRUSDT|None|None|None|None|None
2090|XEPUSDT|None|None|None|None|None
2091|PROPYBTC|None|None|propybtc|None|None
2092|HIVEUSDT|None|None|hiveusdt|None|None
2093|PCXUSDT|None|None|None|None|None
2094|YFIUSDT|YFI-USDT|YFI_USDT|yfiusdt|YFI-USDT|YFI-USDT
2095|SHIBUSDT|SHIB-USDT|SHIB_USDT|shibusdt|SHIB-USDT|SHIB-USDT
2096|FROGEUSDT|None|None|None|None|None
2097|TKXUSDT|None|None|None|None|None
2098|H2OUSDT|None|None|h2ousdt|None|None
2099|TKOUSDT|None|None|None|None|None
2100|AYAUSDT|None|None|None|None|None
2101|DORKLUSDT|None|None|None|None|None
2102|DASHBTC|None|DASH_BTC|None|None|None
2103|OCFUSDT|None|None|None|None|None
2104|WAVESBTC|None|WAVES_BTC|None|None|None
2105|INUSDT|None|None|None|None|None
2106|INVUSDT|None|None|None|None|None
2107|CADUSDT|None|None|None|None|None
2108|UCFUSDT|None|None|None|None|None
2109|TOKEUSDT|None|None|tokeusdt|None|None
2110|METAUSDT|None|None|None|None|None
2111|AGIIUSDT|None|None|None|None|None
2112|VKTUSDT|None|None|None|None|None
2113|ZECBTC|None|ZEC_BTC|None|None|None
2114|MOBXUSDT|None|None|None|None|None
2115|BABYBONKUSDT|None|None|None|None|None
2116|SOCUSDT|None|None|None|None|None
2117|FRCUSDT|None|None|None|None|None
2118|NEBLUSDT|None|None|None|None|None
2119|YFIIUSDT|None|None|yfiiusdt|YFII-USDT|YFII-USDT
2120|BAKEUSDT|None|None|bakeusdt|None|None
2121|GAXUSDT|None|None|None|None|None
2122|LOKAUSDT|None|None|lokausdt|None|None
2123|RABUSDT|None|None|rabusdt|None|None
2124|LTCRUB|None|LTC_RUB|None|None|None
2125|THOLUSDT|None|None|None|None|None
2126|LITTUSDT|None|None|None|None|None
2127|UNIEUR|None|None|None|UNI-EUR|UNI-EUR
2128|XTMUSDT|None|None|xtmusdt|None|None
2129|IWELLUSDT|None|None|None|None|None
2130|SPELLFIREUSDT|None|None|spellfireusdt|None|None
2131|DYPUSDT|None|None|dypusdt|None|None
2132|WJXNUSDT|None|None|None|None|None
2133|ETHUSDT|ETH-USDT|ETH_USDT|ethusdt|ETH-USDT|ETH-USDT
2134|HANDYUSDT|None|None|None|None|None
2135|HBARBTC|None|None|None|HBAR-BTC|HBAR-BTC
2136|SWPUSDT|None|None|None|None|None
2137|ADAUSDC|None|None|None|ADA-USDC|ADA-USDC
2138|IONXUSDT|None|None|None|None|None
2139|ZIXUSDT|None|None|None|None|None
2140|ASTRUSDT|None|None|astrusdt|ASTR-USDT|ASTR-USDT
2141|BZAIUSDT|None|None|None|None|None
2142|VMPXUSDT|None|None|None|None|None
2143|OPPUSDT|None|None|None|None|None
2144|AMAUSDT|None|None|None|None|None
2145|TRACEUSDT|None|None|traceusdt|None|None
2146|REIUSDT|None|None|reiusdt|None|None
2147|AGLDUSDC|None|None|None|AGLD-USDC|AGLD-USDC
2148|SOLPEPEUSDT|None|None|None|None|None
2149|ONEUSDT|None|ONE_USDT|oneusdt|ONE-USDT|ONE-USDT
2150|LOVELYUSDT|None|None|lovelyusdt|None|None
2151|COFUSDT|None|None|None|None|None
2152|XDCUSDT|None|None|xdcusdt|None|None
2153|RVNUSDT|None|None|rvnusdt|RVN-USDT|RVN-USDT
2154|LBPUSDT|None|None|lbpusdt|None|None
2155|NFTARTUSDT|None|None|None|None|None
2156|DUELUSDT|None|None|None|None|None
2157|ITEMUSDT|None|None|None|None|None
2158|SNCUSDT|None|None|None|None|None
2159|DLANCEUSDT|None|None|None|None|None
2160|CRVETH|None|None|None|None|None
2161|LPTUSDT|None|None|lptusdt|LPT-USDT|LPT-USDT
2162|NGLUSDT|None|None|nglusdt|None|None
2163|SSWPUSDT|None|None|None|SSWP-USDT|SSWP-USDT
2164|MTRMUSDT|None|None|None|None|None
2165|OMGUSDT|OMG-USDT|None|omgusdt|OMG-USDT|OMG-USDT
2166|EOSEUR|None|None|None|EOS-EUR|EOS-EUR
2167|PLCUUSDT|None|PLCU_USDT|None|None|None
2168|NEPTUSDT|None|None|None|None|None
2169|OCTAVUSUSDT|None|None|None|None|None
2170|AWOUSDT|None|None|None|None|None
2171|BOXUSDT|None|None|boxusdt|None|None
2172|OSMOUSDT|None|None|osmousdt|None|None
2173|SHIBBTC|None|None|None|SHIB-BTC|SHIB-BTC
2174|TITANUSDT|None|None|titanusdt|None|None
2175|GXUSDT|None|None|None|None|None
2176|EWCUSDT|None|None|None|None|None
2177|GORAUSDT|None|None|None|None|None
2178|TRXEUR|None|None|None|TRX-EUR|TRX-EUR
2179|XSPECTARUSDT|None|None|None|None|None
2180|JANUSDT|None|None|None|None|None
2181|JOKERUSDT|None|None|None|None|None
2182|KMICEUSDT|None|None|None|None|None
2183|EXFIUSDT|None|None|None|None|None
2184|GMPDUSDT|None|None|gmpdusdt|None|None
2185|VMINTUSDT|None|None|None|None|None
2186|GHOSTUSDT|None|None|None|None|None
2187|BOOLUSDT|None|None|None|None|None
2188|BGNUSDT|None|None|None|None|None
2189|HEXUSDT|None|None|None|None|None
2190|MMITUSDT|None|None|None|None|None
2191|PANDADAOUSDT|None|None|None|None|None
2192|NHTUSDT|None|None|None|None|None
2193|SOMMUSDT|SOMM-USDT|None|None|None|None
2194|XNAUSDT|None|None|None|None|None
2195|SIMPSONUSDT|None|None|None|None|None
2196|SERPUSDT|None|None|None|None|None
2197|HOOKUSDT|None|None|None|None|None
2198|EGRNUSDT|None|None|None|None|None
2199|HEARTAIUSDT|None|None|None|None|None
2200|ORLAUSDT|None|None|None|None|None
2201|LFGUSDT|None|None|None|None|None
2202|SIGNUSDT|None|None|signusdt|None|None
2203|PLUUSDT|None|None|pluusdt|None|None
2204|FANCUSDT|None|None|fancusdt|None|None
2205|ERTHAUSDT|None|None|erthausdt|None|None
2206|ICTUSDT|None|None|None|None|None
2207|TRADEUSDT|None|None|None|None|None
2208|BLAUSDT|None|None|None|None|None
2209|ADEXUSDT|None|None|None|None|None
2210|BDXBTC|None|None|None|None|None
2211|ICPUSDT|None|None|icpusdt|ICP-USDT|ICP-USDT
2212|FAKTUSDT|None|None|None|None|None
2213|JASMYUSDC|None|None|None|None|None
2214|OBIUSDT|None|None|None|None|None
2215|RIBUSDT|None|None|None|None|None
2216|TRX3LUSDT|None|None|trx3lusdt|None|None
2217|WNCGUSDT|None|None|None|WNCG-USDT|WNCG-USDT
2218|LADYSUSDT|None|None|ladysusdt|None|None
2219|RINGUSDT|None|None|ringusdt|None|None
2220|1INCHUSDT|None|None|1inchusdt|1INCH-USDT|1INCH-USDT
2221|LHINUUSDT|None|None|lhinuusdt|LHINU-USDT|LHINU-USDT
2222|AGIUSDT|None|None|None|None|None
2223|DIEUSDT|None|None|None|None|None
2224|ANTCUSDT|None|None|None|None|None
2225|MLKUSDT|None|None|mlkusdt|None|None
2226|IRONUSDT|None|None|None|None|None
2227|ANTUSDT|None|None|antusdt|ANT-USDT|ANT-USDT
2228|YDFUSDT|None|None|None|None|None
2229|BTTUSDT|None|None|bttusdt|BTT-USDT|BTT-USDT
2230|LSDUSDT|None|None|lsdusdt|None|None
2231|TUSDT|None|None|tusdt|T-USDT|T-USDT
2232|SCPTUSDT|None|None|None|None|None
2233|LEEUSDT|None|None|None|None|None
2234|OVRUSDT|None|None|None|None|None
2235|WINGUSDT|None|None|None|None|None
2236|CGLUSDT|None|None|None|CGL-USDT|CGL-USDT
2237|TWTUSDT|None|None|None|None|None
2238|XYOUSDT|None|None|xyousdt|None|None
2239|WELSHUSDT|None|None|None|None|None
2240|PGUSDT|None|None|None|None|None
2241|PKRUSDT|None|None|None|None|None
2242|GFUSDT|None|None|gfusdt|GF-USDT|GF-USDT
2243|WSBUSDT|None|None|None|None|None
2244|NEOXUSDT|None|None|None|None|None
2245|WNKUSDT|None|None|None|None|None
2246|CHRPUSDT|None|None|None|None|None
2247|NETZUSDT|None|None|None|None|None
2248|DOTEUR|None|None|None|DOT-EUR|DOT-EUR
2249|XADOUSDT|None|None|None|None|None
2250|ADAEUR|None|None|None|ADA-EUR|ADA-EUR
2251|KSNUSDT|None|None|None|None|None
2252|JUNOUSDT|None|None|None|None|None
2253|XPXUSDT|None|None|None|None|None
2254|ROCOUSDT|None|None|rocousdt|None|None
2255|PIVNUSDT|None|None|None|None|None
2256|JOBUSDT|None|None|None|None|None
2257|GRLUSDT|None|None|None|None|None
2258|NWCUSDT|None|None|None|None|None
2259|OCEANETH|None|None|None|None|None
2260|SDNUSDT|None|None|sdnusdt|None|None
2261|BRNUSDT|None|None|None|None|None
2262|BTSCUSDT|None|None|None|None|None
2263|RSRUSDT|None|None|rsrusdt|RSR-USDT|RSR-USDT
2264|TIMUSDT|None|None|None|None|None
2265|ATOMUSDT|None|ATOM_USDT|atomusdt|ATOM-USDT|ATOM-USDT
2266|YACHTUSDT|None|None|None|None|None
2267|PENUSDT|None|None|None|None|None
2268|GFTUSDT|None|None|gftusdt|GFT-USDT|GFT-USDT
2269|DESWARUSDT|None|None|None|None|None
2270|BTTUSDC|None|None|bttusdc|None|None
2271|SATOXUSDT|None|None|None|None|None
2272|POOHUSDT|None|None|poohusdt|None|None
2273|SHOOTERUSDT|None|None|None|None|None
2274|MINAUSDT|None|None|minausdt|MINA-USDT|MINA-USDT
2275|FRTSUSDT|None|None|None|None|None
2276|AVAETH|None|None|None|None|None
2277|LBRUSDT|None|None|None|LBR-USDT|LBR-USDT
2278|RCEUSDT|None|None|None|None|None
2279|SDTUSDT|None|None|None|None|None
2280|ISLMUSDT|None|None|None|None|None
2281|ARKMUSDT|None|None|arkmusdt|None|None
2282|RAYUSDT|None|None|None|RAY-USDT|RAY-USDT
2283|CVTXUSDT|None|None|None|None|None
2284|CTEXUSDT|None|None|None|None|None
2285|CWEBUSDT|None|None|None|None|None
2286|TMTUSDT|None|None|None|None|None
2287|LINKUSDC|None|None|None|LINK-USDC|LINK-USDC
2288|LEMNUSDT|None|None|None|None|None
2289|TRLUSDT|None|None|None|None|None
2290|COUSDT|None|None|None|None|None
2291|LMWRUSDT|None|None|None|None|None
2292|CHRISPUMPUSDT|None|None|None|None|None
2293|ETHEREUM2USDT|None|None|None|None|None
2294|TFUSDT|None|None|None|None|None
2295|PHBUSDT|None|None|phbusdt|None|None
2296|LSKUSDT|None|None|lskusdt|LSK-USDT|LSK-USDT
2297|IOTXUSDT|IOTX-USDT|None|iotxusdt|None|None
2298|XLMUSDT|XLM-USDT|XLM_USDT|xlmusdt|XLM-USDT|XLM-USDT
2299|AIRIUSDT|None|None|None|None|None
2300|KICKSUSDT|None|None|kicksusdt|None|None
2301|DDUSDT|None|None|None|None|None
2302|GASBTC|None|GAS_BTC|None|None|None
2303|MASSETH|None|None|None|None|None
2304|OPULUSDT|None|None|opulusdt|None|None
2305|PRXUSDT|None|None|None|None|None
2306|CEXUSDT|None|None|None|None|None
2307|PANDOUSDT|None|None|pandousdt|None|None
2308|JPGUSDT|None|None|None|JPG-USDT|JPG-USDT
2309|KATUSDT|None|None|None|None|None
2310|CREOUSDT|None|None|None|None|None
2311|REKTUSDT|None|None|None|None|None
2312|UBSNUSDT|None|None|None|None|None
2313|VEILUSDT|None|None|None|None|None
2314|SUNDAEUSDT|None|None|None|None|None
2315|TRIVIAUSDT|None|None|None|None|None
2316|WSIUSDT|None|None|None|None|None
2317|WENUSDT|None|None|wenusdt|None|None
2318|TOMBPLUSUSDT|None|None|None|None|None
2319|CRAZYDAVEUSDT|None|None|None|None|None
2320|MOBILEUSDT|None|None|None|None|None
2321|ARVUSDT|None|None|arvusdt|None|None
2322|RIWAUSDT|None|None|None|None|None
2323|XWGUSDT|None|None|None|None|None
2324|PEPEUSDT|PEPE-USDT|PEPE_USDT|pepeusdt|PEPE-USDT|PEPE-USDT
2325|DYDXUSDC|None|None|None|DYDX-USDC|DYDX-USDC
2326|FTIUSDT|None|None|ftiusdt|None|None
2327|GHXUSDT|None|None|None|None|None
2328|DSLAUSDT|None|None|None|None|None
2329|MPLXUSDT|None|None|mplxusdt|None|None
2330|ZKPEPEUSDT|None|None|None|None|None
2331|ZEPHUSDT|None|None|None|None|None
2332|STARSHIPUSDT|None|None|None|None|None
2333|VLKUSDT|None|None|None|None|None
2334|HOLDUSDT|None|None|None|None|None
2335|XLSUSDT|None|None|None|None|None
2336|AIGPTUSDT|None|None|None|None|None
2337|HEMEUSDT|None|None|None|None|None
2338|FINEUSDT|None|None|None|None|None
2339|UNFIUSDT|None|None|unfiusdt|None|None
2340|ETHUSDD|None|None|ethusdd|None|None
2341|ALMUSDT|None|None|None|None|None
2342|VNNUSDT|None|None|None|None|None
2343|SWOUSDT|None|None|None|None|None
2344|NLSUSDT|None|None|None|None|None
2345|SUBUSDT|None|None|None|None|None
2346|USDCUSDT|None|USDC_USDT|usdcusdt|USDC-USDT|USDC-USDT
2347|ARKUSDT|None|None|None|None|None
2348|BABYMEMECOINUSDT|None|None|None|None|None
2349|DINOSUSDT|None|None|None|None|None
2350|MXETH|None|None|None|None|None
2351|BLUESUSDT|None|None|None|None|None
2352|BZZUSDT|None|None|None|BZZ-USDT|BZZ-USDT
2353|CASUSDT|None|None|None|None|None
2354|WPCIUSDT|None|None|wpciusdt|None|None
2355|ZELIXUSDT|None|None|zelixusdt|None|None
2356|OLANDUSDT|None|None|olandusdt|None|None
2357|FTMUSDC|None|None|None|FTM-USDC|FTM-USDC
2358|HTMUSDT|None|None|None|None|None
2359|IDEAUSDT|None|None|None|None|None
2360|ITSBUSDT|None|None|None|None|None
2361|DGBBTC|None|None|dgbbtc|None|None
2362|BADUSDT|None|None|None|None|None
2363|POLCUSDT|None|None|polcusdt|None|None
2364|LEVERUSDT|None|None|None|None|None
2365|APDUSDT|None|None|None|None|None
2366|PERPUSDT|None|None|perpusdt|PERP-USDT|PERP-USDT
2367|ALGORUB|None|ALGO_RUB|None|None|None
2368|BEFEUSDT|None|None|None|None|None
2369|ACNUSDT|None|None|None|None|None
2370|GRIMACEUSDT|None|None|None|None|None
2371|MINAUSDC|None|None|None|MINA-USDC|MINA-USDC
2372|SWTHUSDT|None|None|None|None|None
2373|MVLUSDT|None|None|None|None|None
2374|MAGUSDT|None|None|None|None|None
2375|DERIUSDT|None|None|None|None|None
2376|APTUSDD|None|None|aptusdd|None|None
2377|DEXEUSDT|None|None|dexeusdt|None|None
2378|BAXBTC|None|None|None|None|None
2379|TTUSDT|None|None|ttusdt|None|None
2380|CBXUSDT|None|None|None|None|None
2381|SEIUSDT|None|None|seiusdt|None|None
2382|FARAUSDT|None|None|None|None|None
2383|BSVUSDC|None|None|None|BSV-USDC|BSV-USDC
2384|DOGEBTC|None|DOGE_BTC|dogebtc|DOGE-BTC|DOGE-BTC
2385|GOODUSDT|None|None|None|None|None
2386|ETCRUB|None|ETC_RUB|None|None|None
2387|2024TOKENUSDT|None|None|None|None|None
2388|GTCOINUSDT|None|None|None|None|None
2389|DOGE69USDT|None|None|None|None|None
2390|BABUSDT|None|None|None|None|None
2391|ETNUSDT|None|None|etnusdt|None|None
2392|APT1USDT|None|None|None|None|None
2393|OPAIGUSDT|None|None|None|None|None
2394|MKRDAI|None|MKR_DAI|None|None|None
2395|CVTUSDT|None|None|None|None|None
2396|NEROUSDT|None|None|None|None|None
2397|VTROUSDT|None|None|None|None|None
2398|MORRAUSDT|None|None|None|None|None
2399|KTUSDT|None|None|ktusdt|None|None
2400|DOVAUSDT|None|None|None|None|None
2401|KABOSUUSDT|None|None|None|None|None
2402|DWARSUSDT|None|None|None|None|None
2403|IPVUSDT|None|None|ipvusdt|None|None
2404|GLQUSDT|None|None|None|None|None
2405|2MOONUSDT|None|None|None|None|None
2406|GSYSUSDT|None|None|None|None|None
2407|HAHAUSDT|None|None|None|None|None
2408|MGGUSDT|None|None|mggusdt|None|None
2409|IRISUSDT|None|None|None|None|None
2410|BABYX2USDT|None|None|None|None|None
2411|DICEUSDT|None|None|None|None|None
2412|LTCETH|None|None|None|LTC-ETH|LTC-ETH
2413|PLUGUSDT|None|None|None|None|None
2414|AMDUSDT|None|None|None|None|None
2415|DEXEETH|None|None|None|None|None
2416|BROCKUSDT|None|None|None|None|None
2417|MMUIUSDT|None|None|None|None|None
2418|PACUSDT|None|None|None|None|None
2419|ROCKETUSDT|None|None|None|None|None
2420|WANBTC|None|None|wanbtc|None|None
2421|NACUSDT|None|None|None|None|None
2422|ADAXUSDT|None|None|None|None|None
2423|DKSUSDT|None|None|dksusdt|None|None
2424|BDP1USDT|None|None|None|None|None
2425|MURATIAIUSDT|None|None|None|None|None
2426|EOSCUSDT|None|None|None|None|None
2427|HAIUSDT|None|None|None|None|None
2428|SBCCUSDT|None|None|None|None|None
2429|GMEEUSDT|None|None|gmeeusdt|None|None
2430|XRPETH|None|XRP_ETH|None|XRP-ETH|XRP-ETH
2431|CAGAUSDT|None|None|None|None|None
2432|RNDXUSDT|None|None|None|None|None
2433|NEWUUSDT|NEWU-USDT|None|None|None|None
2434|EOSUSDC|None|None|None|EOS-USDC|EOS-USDC
2435|ATMUSDT|None|None|atmusdt|None|None
2436|AERGOUSDT|None|None|None|AERGO-USDT|AERGO-USDT
2437|ETFSOL2024USDT|None|None|None|None|None
2438|OKBUSDT|None|None|None|OKB-USDT|OKB-USDT
2439|QVIUSDT|None|None|None|None|None
2440|ATLASUSDT|None|None|None|None|None
2441|WOOOOOUSDT|None|None|None|None|None
2442|XENUSDC|None|None|None|None|None
2443|BTCDAI|None|None|None|BTC-DAI|BTC-DAI
2444|FEARUSDT|None|None|None|None|None
2445|PSUSDT|None|None|None|None|None
2446|TARALUSDT|None|None|None|None|None
2447|FLOKIUSDC|None|None|None|FLOKI-USDC|FLOKI-USDC
2448|LOFIUSDT|None|None|None|None|None
2449|ZEROXUSDT|None|None|None|None|None
2450|SAUBERUSDT|None|None|None|None|None
2451|MILOUSDT|None|None|None|MILO-USDT|MILO-USDT
2452|FORTUSDT|None|None|None|None|None
2453|GFALUSDT|None|None|None|None|None
2454|BETHUSDT|None|None|bethusdt|BETH-USDT|BETH-USDT
2455|WTCUSDT|None|None|wtcusdt|None|None
2456|ZEEUSDT|None|None|None|None|None
2457|HYPESUSDT|None|None|None|None|None
2458|DONSUSDT|None|None|None|None|None
2459|KROMUSDT|None|None|None|None|None
2460|TURBOUSDT|None|None|turbousdt|TURBO-USDT|TURBO-USDT
2461|INSUSDT|None|None|None|None|None
2462|SQUIDGROWUSDT|None|None|None|None|None
2463|NAOUSDT|None|None|None|None|None
2464|SHITUSDC|None|None|None|None|None
2465|SEANUSDT|None|None|seanusdt|None|None
2466|BTCHEROUSDT|None|None|None|None|None
2467|ZIGUSDT|None|None|zigusdt|None|None
2468|DECENFIUSDT|None|None|None|None|None
2469|OMGBTC|None|OMG_BTC|None|None|None
2470|CONXUSDT|None|None|None|None|None
2471|GFLOKIUSDT|None|None|None|None|None
2472|GAIAUSDT|None|None|None|None|None
2473|MGROKUSDT|None|None|None|None|None
2474|RIFUSDT|None|None|None|None|None
2475|NAVXUSDT|None|None|navxusdt|None|None
2476|SIMUSDT|None|None|None|None|None
2477|SYNUSDT|None|None|synusdt|None|None
2478|BTCUSDT|BTC-USDT|BTC_USDT|btcusdt|BTC-USDT|BTC-USDT
2479|POLSUSDT|None|None|polsusdt|POLS-USDT|POLS-USDT
2480|DCRUSDT|None|None|dcrusdt|DCR-USDT|DCR-USDT
2481|SRLTYUSDT|None|None|None|None|None
2482|XRPBTC|None|XRP_BTC|xrpbtc|XRP-BTC|XRP-BTC
2483|STRXTRX|None|None|strxtrx|None|None
2484|HBARUSDC|None|None|None|HBAR-USDC|HBAR-USDC
2485|BRCTUSDT|None|None|None|None|None
2486|ZETAUSDT|None|None|zetausdt|ZETA-USDT|ZETA-USDT
2487|FTTUSDD|None|None|fttusdd|None|None
2488|CAIUSDT|None|None|None|None|None
2489|AAVEBTC|None|None|None|AAVE-BTC|AAVE-BTC
2490|TRCLUSDT|None|None|None|None|None
2491|HAPIUSDT|None|None|None|None|None
2492|GOLDUSDT|None|None|None|None|None
2493|HOTCROSSUSDT|None|None|hotcrossusdt|None|None
2494|SXMUSDT|None|None|None|None|None
2495|BHOUSDT|None|None|None|None|None
2496|FURUCOMBOUSDT|None|None|None|None|None
2497|GRTUSDC|None|None|None|GRT-USDC|GRT-USDC
2498|MXBTC|None|None|None|None|None
2499|DOTUSDD|None|None|dotusdd|None|None
2500|ITGRUSDT|None|None|None|None|None
2501|AGDUSDT|None|None|None|None|None
2502|REACHUSDT|None|None|None|None|None
2503|XENETH|None|None|None|None|None
2504|ZECRUB|None|ZEC_RUB|None|None|None
2505|WELLUSDT|None|None|wellusdt|None|None
2506|BETAUSDT|None|None|None|None|None
2507|ADXUSDT|None|None|adxusdt|None|None
2508|APPUSDT|None|None|None|None|None
2509|KOYUSDT|None|None|None|None|None
2510|BLYUSDT|None|None|None|None|None
2511|STXBTC|None|None|None|STX-BTC|STX-BTC
2512|HOPUSDT|None|None|None|None|None
2513|MEMETOONUSDT|None|None|None|None|None
2514|ETHUSDX|None|ETH_USDX|None|None|None
2515|RAFTUSDT|None|None|None|None|None
2516|ARUSDT|None|None|arusdt|AR-USDT|AR-USDT
2517|SEROUSDT|None|None|None|None|None
2518|SLTUSDT|None|None|None|None|None
2519|FIDAUSDT|None|None|None|None|None
2520|MLNETH|None|None|None|None|None
2521|FWCUSDT|None|None|None|None|None
2522|ZKPUSDT|None|None|zkpusdt|None|None
2523|H6H6X6Z7|None|None|h6h6x6z7|None|None
2524|INSPUSDT|None|None|None|None|None
2525|MOONEYUSDT|None|None|None|None|None
2526|XDEFIUSDT|None|None|xdefiusdt|None|None
2527|SMURFCATUSDT|None|None|None|None|None
2528|SAIUSDT|None|None|None|None|None
2529|METAVUSDT|None|None|None|None|None
2530|UGASUSDT|None|None|None|None|None
2531|ZCXUSDT|None|None|zcxusdt|None|None
2532|WORKUSDT|None|None|None|None|None
2533|CANUSDT|None|None|None|None|None
2534|XCORPUSDT|None|None|None|None|None
2535|FXUSDT|None|None|fxusdt|None|None
2536|MCTPUSDT|None|None|None|None|None
2537|HERUSDT|None|None|None|None|None
2538|RIKUSDT|None|None|None|None|None
2539|PAINTUSDT|None|None|None|None|None
2540|TPYUSDT|None|None|tpyusdt|None|None
2541|REQUSDT|None|None|requsdt|None|None
2542|BIZAUSDT|None|None|None|None|None
2543|X7CUSDT|None|None|None|None|None
2544|OXTUSDT|None|None|oxtusdt|OXT-USDT|OXT-USDT
2545|F3USDT|None|None|None|None|None
2546|XTZBTC|None|XTZ_BTC|None|None|None
2547|FILBTC|None|None|None|FIL-BTC|FIL-BTC
2548|BABYDOGE2USDT|None|None|None|None|None
2549|A8S83LD8F8|None|None|a8s83ld8f8|None|None
2550|DOGECOIN2USDT|None|None|None|None|None
2551|GROKBANKUSDT|None|None|None|None|None
2552|MEMRSATSUSDT|None|None|None|None|None
2553|GUSDRUB|None|GUSD_RUB|None|None|None
2554|KUJIUSDT|None|None|None|None|None
2555|APNUSDT|None|None|None|None|None
2556|XMXUSDT|None|None|None|None|None
2557|BETHETH|None|None|betheth|BETH-ETH|BETH-ETH
2558|EMPUSDT|None|None|None|None|None
2559|TRUMP2024USDT|None|None|None|None|None
