currency|chain|display_name|deposit_status|withdraw_status
dbc|bep20dbc|BEP20|allowed|prohibited
dbc|dbc1|DBC1|allowed|allowed
dbc|erc20dbc|ERC20|allowed|allowed
elf|elf1|ELF|allowed|allowed
aidoc|aidoc|ERC20|prohibited|prohibited
monfter|monfter|ERC20|prohibited|prohibited
iost|iost|ERC20|allowed|prohibited
iost|iost1|IOST|allowed|allowed
yee|hrc20yee|HECO|prohibited|prohibited
yee|yee|ERC20|prohibited|prohibited
dat|dat|ERC20|prohibited|prohibited
theta|hrc20theta|HECO|prohibited|prohibited
theta|theta1|THETA|allowed|allowed
let|hrc20let|HECO|prohibited|prohibited
let|let1|ERC20|prohibited|prohibited
dta|dta|ERC20|prohibited|prohibited
dta|dta1|KLAY|prohibited|allowed
utk|utk1|ERC20|allowed|allowed
meet|meet|ERC20|prohibited|prohibited
zil|zil1|ZIL|allowed|allowed
soc|soc1|TRC20|prohibited|allowed
ruff|hrc20ruff|HECO|prohibited|prohibited
ocn|ocn|ERC20|prohibited|allowed
ela|hrc20ela|HRC20ELA|prohibited|prohibited
bcx|bcx|BCX|prohibited|prohibited
sbtc|sbtc|SBTC|prohibited|prohibited
bifi|bifi|BIFI|prohibited|prohibited
zla|zla|ERC20|prohibited|prohibited
stk|stk|ERC20|prohibited|prohibited
wpr|wpr|ERC20|prohibited|prohibited
mtn|mtn|ERC20|prohibited|prohibited
mtx|mtx|ERC20|prohibited|prohibited
edu|edu1|ERC20|prohibited|prohibited
blz|blz|ERC20|allowed|allowed
abt|abt|ERC20|prohibited|allowed
ctxc|ctxc1|CTXC|allowed|allowed
ctxc|hrc20ctxc|HECO|prohibited|prohibited
ont|ont2|ONTOLOGY|prohibited|prohibited
bft|bft|ERC20|prohibited|prohibited
wan|wan|WAN|allowed|allowed
kan|kan|ERC20|allowed|allowed
lba|lba|ERC20|prohibited|prohibited
polyx|poly1|POLYX|allowed|allowed
pai|pai|PAI|prohibited|prohibited
wtc|wtc|ERC20|prohibited|prohibited
wtc|wtc1|WTC|allowed|allowed
box|box|ERC20|allowed|allowed
box|hrc20box|HECO|prohibited|prohibited
dgb|dgb|DGB|prohibited|allowed
bix|bix1|ERC20|prohibited|allowed
bix|hrc20bix|HECO|prohibited|prohibited
xlm|xlm|STELLA|allowed|allowed
xvg|xvg|XVG|allowed|allowed
hit|hit|ERC20|prohibited|prohibited
ncash|ncash1|AVAXCCHAIN|prohibited|allowed
egcc|egcc|ERC20|prohibited|prohibited
she|she|ERC20|prohibited|prohibited
mex|mex|ERC20|prohibited|prohibited
iic|iic|ERC20|prohibited|prohibited
gsc|gsc|ERC20|prohibited|allowed
uc|uc|ERC20|prohibited|prohibited
uip|uip|ERC20|prohibited|prohibited
cnn|cnn|ERC20|prohibited|prohibited
aac|polyaac|MATIC|allowed|allowed
uuu|uuu|ERC20|prohibited|prohibited
cdc|cdc|ERC20|prohibited|prohibited
lxt|lxt|ERC20|prohibited|prohibited
but|but|ERC20|prohibited|prohibited
but|hrc20but|HECO|prohibited|prohibited
18c|18c|ERC20|prohibited|prohibited
datx|datx|ERC20|prohibited|prohibited
portal|ptc|ERC20|prohibited|prohibited
