gen_name|original_name|bidPrice|bidQty|askPrice|askQty|status|baseAsset|baseAssetPrecision|quoteAsset|quotePrecision|quoteAssetPrecision|baseCommissionPrecision|quoteCommissionPrecision|orderTypes|isSpotTradingAllowed|isMarginTradingAllowed|quoteAmountPrecision|baseSizePrecision|permissions|filters|maxQuoteAmount|makerCommission|takerCommission|quoteAmountPrecisionMarket|maxQuoteAmountMarket|fullName
AGIXUSDT|AGIXUSDT|0.53067|3674.00|0.53091|1944.38|ENABLED|AGIX|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SingularityNET
ALEPHUSDT|ALEPHUSDT|0.35098|112.63|0.35509|911.39|ENABLED|ALEPH|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|5|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Alephim
NLINKUSDT|NLINKUSDT|0.0000000000005541|130798744332054|0.0000000000005891|569892009999139|ENABLED|NLINK|0|USDT|16|16|0|16|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Neuralink
LVNUSDT|LVNUSDT|0.1734|201.85|0.1736|201.62|ENABLED|LVN|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Levana
CROWNUSDT|CROWNUSDT|1.1490|9.57|1.1500|48.18|ENABLED|CROWN|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|CROWN
ARCHUSDT|ARCHUSDT|0.314|197.01|0.322|54.30|ENABLED|ARCH|2|USDT|3|3|2|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Archimedes Finance
ZURRUSDT|ZURRUSDT|3.732|0.020|3.818|2.320|ENABLED|ZURR|3|USDT|3|3|3|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.000001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ZURRENCY
KSNUSDT|KSNUSDT|0.07603|100.00|0.07686|980.64|ENABLED|KSN|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|KISSAN
WNZUSDT|WNZUSDT|0.04930|306.16|0.05023|17670.82|ENABLED|WNZ|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Winnerz
SUIUSDT|SUIUSDT|1.7290|13729.40|1.7295|14049.34|ENABLED|SUI|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SUI
TRVLUSDT|TRVLUSDT|0.04873|1411.69|0.04891|129.95|ENABLED|TRVL|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|TRVL
CLEOUSDT|CLEOUSDT|0.05383|1815.85|0.05406|4051.60|ENABLED|CLEO|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Cleo Tech
LEVIATANBONKUSDT|LEVIATANBONKUSDT|0.0000004368|27327958.01|0.0000004636|25921125.71|ENABLED|LEVIATANBONK|2|USDT|10|10|2|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Leviatanbonk
WASUSDT|WASUSDT|0.021950|4840.12|0.021960|28761.63|ENABLED|WAS|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Wasder
ORDUSDT|ORDUSDT|0.0000029692|2935504|0.0000030445|2168460|ENABLED|ORD|0|USDT|10|10|0|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ordinex
