gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
TOMIUSDT|tomiusdt|1.1331|1.1331|1.0376|1.0557|6287256.304821119|6876824.039319317|3559|1.0553|38.5211|1.057|12.3051
STFUSDT|stfusdt|0.011203|0.011284|0.010188|0.010885|148726294.80011436|1613230.3681483094|18311|0.010622|8155.3053|0.011131|1314.4764
USDTTRY|usdttry|31.483|31.675|31.002|31.234|2321.4764313869896|73316.84578711|345|31.049|2.0412|31.234|5.8442
WIFIUSDT|wifiusdt|0.116577|0.122889|0.115436|0.121601|1022649.3421260195|119973.0683629096|4621|0.120914|200.0|0.122233|118.1861
VRAUSDT|vrausdt|0.007497|0.007539|0.007047|0.007258|80310462.31850693|585823.7193902273|28654|0.007248|2665.9232|0.007268|2027.8878
TRUUSDT|truusdt|0.064538|0.066951|0.059764|0.061729|1465286.6044|92427.3728013246|1880|0.061879|3226.301|0.062321|322.0672
A8S8D8F8|a8s8d8f8|12010.0|12010.0|12010.0|12010.0|0.0|0.0|0|0.0|0.0|12998.0|11454.45131952608
SIGNUSDT|signusdt|0.01127|0.011965|0.011009|0.011788|95910651.8146|1098421.2994964432|26306|0.011788|4141.9709|0.011915|7485.8602
WANBTC|wanbtc|4.38e-06|4.52e-06|4.38e-06|4.46e-06|377937.1320992696|1.6809838567|3226|4.45e-06|92.0|4.47e-06|137.83
WPCIUSDT|wpciusdt|0.1263|0.1264|0.1166|0.1225|3794503.9677|465389.48693488|10338|0.1209|210.2504|0.124|25.8608
ACHETH|acheth|7.88e-06|9.33e-06|7.71e-06|8.87e-06|3196105.35|26.0850137248|631|8.79e-06|1161.44|8.9e-06|29052.87
CEREUSDT|cereusdt|0.006822|0.006959|0.006602|0.006654|46387878.31710511|313789.6760658098|10335|0.006601|4544.7655|0.0067|1664.0299
LOOTUSDT|lootusdt|0.0338|0.0344|0.0309|0.0316|195765.1609|6408.61046789|611|0.031|822.2263|0.0319|1792.6432
DIAUSDT|diausdt|0.5609|0.5726|0.5321|0.5363|7275474.352530985|4032360.64296628|83398|0.5355|1302.8175|0.5363|90.7437
DOGEUSDT|dogeusdt|0.087512|0.091448|0.085458|0.087168|315161289.58455765|27759851.48979077|90208|0.087155|916.2|0.087181|1378.46
ZENUSDT|zenusdt|10.8326|11.9999|10.5284|10.8736|101391.65534101219|1099963.7842994|30068|10.8685|22.9882|10.8793|107.6748
RADUSDT|radusdt|2.1227|2.1569|2.0484|2.1241|115265.4316|242841.40882822|11486|2.1222|924.7367|2.1263|31.3548
EURUSDT|eurusdt|1.072|1.078|1.066|1.074|38186.330522797296|40947.79306808|2107|1.068|55.6|1.08|18.1
FNSABTC|fnsabtc|0.000613|0.000637|0.00061|0.000615|548.9495|0.3431292828|572|0.000614|0.4901|0.000616|1.1936
SDUSDT|sdusdt|0.9418|0.9811|0.9281|0.9518|488004.42550853186|463688.14804502|10309|0.9409|25.35|0.9633|188.6966
REEFUSDT|reefusdt|0.001801|0.002|0.001767|0.001794|5384793281.243479|9712861.685447706|149320|0.001786|22211.3192|0.001805|111283.3277
SNSUSDT|snsusdt|0.047547|0.0585|0.040503|0.042583|22327849.81657172|1100260.6508452685|5748|0.042499|1041.66|0.043085|2130.83
WOJAKUSDT|wojakusdt|0.0002892|0.0003|0.00025357|0.0002978|66325736.03664782|18329.766695645|345|0.00028802|157733.89|0.00029698|532200.0
LATUSDT|latusdt|0.009368|0.00972|0.009081|0.009085|158150.47388194955|1478.17579768|58|0.009117|1198.69|0.0093|2983.3333333333335
ELUUSDT|eluusdt|0.02436|0.0244|0.021319|0.021515|326640106.39916044|7439510.416621022|163430|0.021476|1017.1475|0.02155|456.3051
DOGEUSDD|dogeusdd|0.087173|0.09133|0.085478|0.087296|2737819.89|240658.41457729|2500|0.086779|667.38|0.087297|7582.0
MGGUSDT|mggusdt|0.001414|0.001415|0.001375|0.001397|358917282.5326|502731.5283192345|27613|0.001383|7629.3843|0.001412|91911.9052
SSVUSDT|ssvusdt|34.1656|38.98|33.1169|35.1183|19065.635572928208|660870.1357168|17224|35.0696|0.3463|35.118|0.667
FLRUSDT|flrusdt|0.0349|0.0349|0.0332|0.0343|16041320.432821902|552280.87406715|14649|0.0343|10500.0|0.0344|2523.7903
DOTBTC|dotbtc|0.00014863|0.00015651|0.00014792|0.0001494|4656.298957500494|0.708118549642|351|0.00014907|0.7279|0.00014963|2.8078
BOSONUSDT|bosonusdt|0.2438|0.25|0.234|0.2392|472632.31073988555|113947.56587296|2540|0.2385|0.472|0.2401|104.8739
