gen_name|original_name|best_ask|quantity_ask|best_bid|quantity_bid|min_quantity|max_quantity|min_price|max_price|max_amount|min_amount|price_precision|commission_taker_percent|commission_maker_percent
GMTBTC|GMT_BTC|0.00000799|77.33354192|0.0000063|79.75950262|1|100000000|0.00000001|1|100|0.00015|8|0.1|0.1
GMTUSDT|GMT_USDT|0.375823|5|0.368083|144.57619701|1|100000000|0.00000001|1000|500000|0.1|6|0.2|0.2
GUSDRUB|GUSD_RUB|105|26.37279503|103.5|0.00034225|1|500000|0.01|1000|50000000|10|2|0.3|0.3
LINKBTC|LINK_BTC|0.00040554|8.07057369|0.00039255|12.32924002|0.1|500000|0.0000001|1|100|0.0001|8|0.1|0.1
LTCRUB|LTC_RUB|6559.96|2.54779317|6442|5.02719173|0.005|10000|0.01|200000|50000000|75|2|0.3|0.3
LTCUSDT|LTC_USDT|72.6|100|72.52|68.13068574|0.005|10000|0.01|10000|500000|1|6|0.2|0.2
LTCBTC|LTC_BTC|0.00145|3|0.00144715|0.72780292|0.005|10000|0.00000001|1|100|0.0001|8|0.1|0.1
MKRBTC|MKR_BTC|0.04289399|0.00884398|0.03972287|0.01593424|0.001|1000|0.0001|100|100|0.000001|8|0.1|0.1
MKRUSDT|MKR_USDT|2149|0.01396906|2000.00000001|0.06266436|0.001|1000|0.5|500000|500000|0.05|8|0.2|0.2
MKRDAI|MKR_DAI|2075.49519828|0.009|1940|0.00855949|0.001|1000|0.5|500000|500000|0.05|8|0.1|0.1
NEARBTC|NEAR_BTC|0.00006793|5.41290882|0.00006662|73.59434795|0.05|500000|0.00000001|1|100|0.0001|8|0.1|0.1
NEARUSDT|NEAR_USDT|3.3489|3000|3.3475|3000|0.05|500000|0.001|10000|500000|0.5|4|0.2|0.2
NEOUSDT|NEO_USDT|12.005|400|11.997|295.92069128|0.02|100000|0.01|50000|500000|0.1|6|0.2|0.2
NEORUB|NEO_RUB|1091|18.32497727|1071.88|30.38859247|0.02|100000|0.001|1500000|50000000|50|2|0.3|0.3
NEOBTC|NEO_BTC|0.00024244|0.3975|0.00023869|5.89280536|0.02|100000|0.00000001|1|100|0.001|8|0.1|0.1
OMGBTC|OMG_BTC|0.00001345|14.89486896|0.0000133|1.01|0.2|500000|0.00000001|1|100|0.001|8|0.1|0.1
OMGETH|OMG_ETH|0.00027992|158.04178922|0.000251|5.61832669|0.2|500000|0.00000001|10|5000|0.01|8|0.1|0.1
ONEUSDT|ONE_USDT|0.015995|27686.2226568|0.01493333|7118.32656884|1|100000000|0.001|1000|500000|1|8|0.2|0.2
ONEBTC|ONE_BTC|0.00000033|6457.21917166|0.00000031|10020.19081084|1|100000000|0.00000001|1|100|0.000001|8|0.1|0.1
ONGBTC|ONG_BTC|0.00000873|16.71957381|0.0000081|223.96875751|10|1000000|0.00000001|1|10|0.00001|8|0.1|0.1
ONTBTC|ONT_BTC|0.0000049|57.41924014|0.00000481|346.36383143|1|500000|0.00000001|1|10|0.00001|8|0.1|0.1
PRQBTC|PRQ_BTC|0.00000354|70.01313682|0.00000339|8.05242989|1|100000000|0.0000001|1|100|0.0001|8|0.1|0.1
PRQUSDT|PRQ_USDT|0.17286566|3903.53321861|0.1711|25.07305669|1|100000000|0.001|1000|500000|1|8|0.2|0.2
QTUMUSDT|QTUM_USDT|3.054|645.78212276|3.05|1000|0.1|500000|0.00000001|10000|500000|0.1|6|0.2|0.2
QTUMBTC|QTUM_BTC|0.0000613|13.28276636|0.00006051|1.95|0.1|500000|0.00000001|1|100|0.0001|8|0.1|0.1
QTUMETH|QTUM_ETH|0.00115126|14.27073659|0.00114495|0.87340058|0.1|500000|0.00000001|100|5000|0.001|8|0.1|0.1
SHIBRUB|SHIB_RUB|0.00086671|1005.78602781|0.0008433|14984375.01799427|1000|100000000|0.00000001|10|50000000|1|8|0.3|0.3
ROOBEEUSDT|ROOBEE_USDT|0.00159|100|0.00158|101|100|10000000|0.000001|1000|500000|1|8|0.2|0.2
SHIBUSDT|SHIB_USDT|0.00000975|63076.84531992|0.00000962|3102512.91622235|1000|100000000|0.00000001|10|500000|0.01|8|0.2|0.2
SOLBTC|SOL_BTC|0.00230339|1.95865071|0.00228475|0.50689519|0.005|10000|0.00000001|1|100|0.0001|8|0.1|0.1
SOLUSDT|SOL_USDT|114.8651|50|114.688144|0.22899015|0.005|10000|0.01|10000|500000|1|6|0.2|0.2
TONBTC|TON_BTC|0.00004475|33.80231792|0.00004378|111.70688114|10|10000000|0.0000001|1|100|0.00015|8|0.1|0.1
TONUSDT|TON_USDT|2.2065|500|2.204301|76.70931422|1|10000000|0.0001|1000|500000|0.01|6|0.2|0.2
TRXRUB|TRX_RUB|11.5829|77.30961821|11.3311|31.8|25|50000000|0.000001|100000|50000000|0.1|4|0.3|0.3
TRXUSDT|TRX_USDT|0.12713997|1274.50357188|0.12523501|197.49497978|25|50000000|0.0001|1000|500000|0.01|8|0.2|0.2
TRXBTC|TRX_BTC|0.00000255|200.31248748|0.00000249|2422.92191787|25|50000000|0.00000001|1|100|0.001|8|0.1|0.1
UNIBTC|UNI_BTC|0.00013765|3.63740331|0.00013507|11.10535278|0.5|1000000|0.0000001|1|100|0.0001|8|0.1|0.1
USDCBTC|USDC_BTC|0.00002016|173.16145289|0.00001989|20.11060834|1|500000|0.00000001|1|100|0.0001|8|0.1|0.1
USDCETH|USDC_ETH|0.00037956|67.74226172|0.0003739|150|1|500000|0.0000001|100|1000|0.001|8|0.1|0.1
USDCUSDT|USDC_USDT|1.000502|258.0989809|1.000501|26.22416881|1|500000|0.0001|1000|500000|3|6|0.2|0.2
USDTUSDX|USDT_USDX|1.1369|11.39|1.136|33.438105|1|1000000|0.5|3|500000|0.1|4|0.3|0.3
USDTRUB|USDT_RUB|90.76|6.4797353|89.88|234.18061541|1|500000|0.01|1000|50000000|10|2|0.3|0.3
USDTKZT|USDT_KZT|437|2.96|427|196.74603447|1|500000|200|4000|500000|0.1|2|0.3|0.3
VLXBTC|VLX_BTC|0.00000045|10|0.00000038|462.31578948|10|10000000|0.00000001|0.1|100|0.00001|8|0.1|0.1
WAVESRUB|WAVES_RUB|201.95|70.84980316|200|232.1925|0.05|500000|0.01|50000|50000000|10|2|0.3|0.3
WAVESBTC|WAVES_BTC|0.0000453|15|0.000044|2|0.05|500000|0.000001|1|100|0.0001|8|0.1|0.1
WAVESETH|WAVES_ETH|0.00085513|0.225|0.00085|0.4|0.05|500000|0.00001|30|3500|0.003|8|0.1|0.1
XLMRUB|XLM_RUB|10.43|2354.62109227|10.16|6|5|5000000|0.00001|100000|50000000|0.1|2|0.3|0.3
XLMBTC|XLM_BTC|0.00000229|222.12350067|0.00000225|345.79299473|5|5000000|0.00000001|1|100|0.001|8|0.1|0.1
XLMUSDT|XLM_USDT|0.1136|4657.51935305|0.1134|10000|5|5000000|0.0001|1000|500000|0.01|8|0.2|0.2
XRPRUB|XRP_RUB|47.790669|17.52322105|47.5|91.30232705|1|5000000|0.000001|10000|50000000|0.01|6|0.3|0.3
XRPBTC|XRP_BTC|0.00001058|599.99999999|0.00001057|50|1|5000000|0.0000001|1|100|0.00001|8|0.1|0.1
XRPUSDT|XRP_USDT|0.53006|11875.78999434|0.529629|15000|1|5000000|0.001|1000|500000|0.001|8|0.2|0.2
XRPETH|XRP_ETH|0.00019929|3170.687|0.00019871|14339.39672174|1|5000000|0.00000001|10|5000|0.00001|8|0.1|0.1
XTZRUB|XTZ_RUB|94.9|47|90.3001|108.84613548|0.2|100000|0.00001|100000|500000|0.5|4|0.3|0.3
XTZBTC|XTZ_BTC|0.0000218|47.64160947|0.000021|105.23809523|0.2|100000|0.00000001|1|10|0.00001|8|0.1|0.1
YFIBTC|YFI_BTC|0.15630285|0.00017117|0.1514133|0.03198917|0.00001|100|0.0001|50|100|0.0001|8|0.1|0.1
ZECRUB|ZEC_RUB|1960.96|4.82676225|1900.01|0.4|0.01|10000|0.001|200000|50000000|0.1|2|0.3|0.3
