coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
SCPT|Script Network|SCPT|Script Network|True|True|BNB Smart Chain(BEP20)
STRD|STRD|STRD|STRD|False|False|STRD
BEX|BrcExchange|BEX|BrcExchange|True|True|BNB Smart Chain(BEP20)
BBAI|BUBAI|BBAI|BUBAI|True|True|Ethereum(ERC20)
STRP|Strips|STRP|Strips|False|True|Ethereum(ERC20)
STRM|StreamCoin|STRM|StreamCoin|True|True|BNB Smart Chain(BEP20)
IOEX|ioeX|IOEX|ioeX|False|False|IOEX
STRK|STRK|STRK|STRK|True|False|Starknet(STARK)
BFC|Bifrost|BFC|Bifrost|False|True|Ethereum(ERC20)
NEER|MNet Pioneer|NEER|MNet Pioneer|True|True|NEER
SGT|Suzuverse|SGT|Suzuverse|True|True|Ethereum(ERC20)
FLUXB|FluxBot|FLUXB|FluxBot|False|True|Solana(SOL)
POKEMON2|Pokemon 2.0|POKEMON2|Pokemon 2.0|False|True|Ethereum(ERC20)
ETERNAL|CryptoMines|ETERNAL|CryptoMines|True|True|BNB Smart Chain(BEP20)
OCTAVUS|Octavus Prime AI|OCTAVUS|Octavus Prime AI|True|True|BNB Smart Chain(BEP20)
BFR|Buffer Finance|BFR|Buffer Finance|True|True|Arbitrum One(ARB)
BFT|Brazil National Fan|BFT|Brazil National Fan|True|True|BITCI
UNBNK|Unbanked|UNBNK|Unbanked|False|True|Ethereum(ERC20)
SHI|Shirtum|SHI|Shirtum|False|True|BNB Smart Chain(BEP20)
FLUX1|FLUX|FLUX1|Flux|True|True|ZEL
FLUX1|FLUX|FLUX1|FLUX|True|False|BNB Smart Chain(BEP20)
FLUX1|FLUX|FLUX1|FLUX|True|False|Ethereum(ERC20)
CEEK|CEEK|CEEK|CEEK|True|True|BNB Smart Chain(BEP20)
CEEK|CEEK|CEEK|CEEK|True|True|Ethereum(ERC20)
BSCX|LaunchZone|BSCX|LaunchZone|False|False|BNB Smart Chain(BEP20)
BGB|Bitget Token|BGB|Bitget Token|True|True|Ethereum(ERC20)
BSCS|BSCS|BSCS|BSCS|True|True|BNB Smart Chain(BEP20)
BBDC|Block Beat Network|BBDC|Block Beat Network|False|False|BDCC
SLCL|Solcial|SLCL|Solcial|False|True|Solana(SOL)
1EX|1ex Trading Board|1EX|1ex Trading Board|True|True|Ethereum(ERC20)
BGN|Bitgain|BGN|Bitgain|True|True|BNB Smart Chain(BEP20)
TABOO|TABOO TOKEN|TABOO|TABOO TOKEN|True|True|BNB Smart Chain(BEP20)
BGT|BG Trade|BGT|BG Trade|False|True|Arbitrum One(ARB)
BABYPEPE|BabyPepeFi|BABYPEPE|BabyPepeFi|True|True|BNB Smart Chain(BEP20)
SCRT|SCRT|SCRT|SCRT|True|True|SCRT
SIM|SIMU|SIM|SIMU|False|True|BNB Smart Chain(BEP20)
KEKYA|kekya|KEKYA|kekya|False|True|Ethereum(ERC20)
SIN|SinVerse|SIN|SinVerse|True|True|BNB Smart Chain(BEP20)
SIP|SPACE SIP|SIP|SPACE SIP|False|True|BNB Smart Chain(BEP20)
BHC|BillionHappiness|BHC|BillionHappiness|False|True|BNB Smart Chain(BEP20)
BHD|BHD|BHD|BHD|False|False|NONE
SIW|StayInDestinyWorld|SIW|StayInDestinyWorld|False|True|BNB Smart Chain(BEP20)
SIX|SIX|SIX|SIX|True|True|BNB Smart Chain(BEP20)
CVIP|CVIP|CVIP|CVIP|True|True|BNB Smart Chain(BEP20)
BHO|BHO Network|BHO|BHO Network|True|True|BNB Smart Chain(BEP20)
KDOE|Kudoe|KDOE|Kudoe|False|True|Ethereum(ERC20)
APCG|ALL Pay Coin|APCG|ALL Pay Coin|True|True|Ethereum(ERC20)
BHT|BeeStore Honey|BHT|BeeStore Honey|False|True|Ethereum(ERC20)
FLUUS|FLUUS|FLUUS|FLUUS|False|True|Avalanche C Chain(AVAX CCHAIN)
NVIR|NvirWorld|NVIR|NvirWorld|True|True|Ethereum(ERC20)
MEMEKING|MEMEKING|MEMEKING|MEMEKING|False|False|BNB Smart Chain(BEP20)
BID|Bondbid|BID|Bondbid|True|True|BNB Smart Chain(BEP20)
RIDE|holoride|RIDE|holoride|True|True|EGLD
PLANETS|PlanetWatch|PLANETS|PlanetWatch|True|True|Algorand(ALGO)
MOCHICAT|MochiCat|MOCHICAT|MochiCat|True|True|BNB Smart Chain(BEP20)
PIZZA|PIZZA-USDE|PIZZA|PIZZA-USDE|False|True|EOS
ZINUOLD|Zombie Inu|ZINUOLD|Zombie Inu|False|True|BNB Smart Chain(BEP20)
BIN|Binemon|BIN|Binemon|True|True|BNB Smart Chain(BEP20)
ARBIOLD|ArbiPad|ARBIOLD|ArbiPad|False|False|Arbitrum One(ARB)
