coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
TRR|Terran Coin|TRR|Terran Coin|False|True|BNB Smart Chain(BEP20)
TRU|TrueFiToken|TRU|TrueFiToken|True|True|Ethereum(ERC20)
ORDS|Ordiswap|ORDS|Ordiswap|True|True|Ethereum(ERC20)
LBL|LABEL Foundation|LBL|LABEL Foundation|False|True|BNB Smart Chain(BEP20)
LBL|LABEL Foundation|LBL|LABEL Foundation|False|True|Ethereum(ERC20)
TRV|Terivto Protocol|TRV|Terivto Protocol|True|True|BNB Smart Chain(BEP20)
TRX|Tron|TRX|Tron|True|True|Tron(TRC20)
LBP|LaunchBlock|LBP|LaunchBlock|False|True|Ethereum(ERC20)
LBR|Lybra Finance|LBR|Lybra Finance|True|True|Ethereum(ERC20)
EDGE|Edge|EDGE|Edge|False|True|Ethereum(ERC20)
TOKAU|Tokyo AU Token|TOKAU|Tokyo AU Token|False|False|BNB Smart Chain(BEP20)
ORCA|Orca|ORCA|Orca|True|True|Solana(SOL)
YOOSHI|YooShi|YOOSHI|YooShi|True|True|BNB Smart Chain(BEP20)
CQT|Covalent|CQT|Covalent|True|True|Ethereum(ERC20)
BONKGROK|Bonk Grok|BONKGROK|Bonk Grok|False|True|BNB Smart Chain(BEP20)
EDEN|Eden|EDEN|Eden|True|True|Ethereum(ERC20)
USTC|USTC-LUNC|USTC|TerraClassicUSD|False|False|Ethereum(ERC20)
USTC|USTC-LUNC|USTC|USTC-LUNC|True|True|LUNC
PLUG|PlugToken|PLUG|PlugToken|True|True|Ethereum(ERC20)
TENET|TENET|TENET|TENET|True|True|TENET
TSN|TalkSync|TSN|TalkSync|True|True|BNB Smart Chain(BEP20)
AIBUDDY|SHOPPiNG FRiEND Ai|AIBUDDY|SHOPPiNG FRiEND Ai|False|True|BNB Smart Chain(BEP20)
RAYS|MCH RAYS|RAYS|MCH RAYS|False|False|Polygon(MATIC)
ELIXIR|Starchi|ELIXIR|Starchi|False|False|BNB Smart Chain(BEP20)
ELIXIR|Starchi|ELIXIR|Starchi|False|True|Polygon(MATIC)
VNLNK|VINLINK|VNLNK|VINLINK|False|True|Ethereum(ERC20)
CRB|AIGPT|CRB|AIGPT|False|True|Arbitrum One(ARB)
CRA|Crabada|CRA|Crabada|False|True|Avalanche C Chain(AVAX CCHAIN)
RDNTOLD|Radiant Capital|RDNTOLD|Radiant Capital|False|False|Arbitrum One(ARB)
D3D|D3D|D3D|D3D|False|True|BNB Smart Chain(BEP20)
DISC|DisCas|DISC|DisCas|True|True|BNB Smart Chain(BEP20)
CRF|Crafting Finance|CRF|Crafting Finance|True|True|Ethereum(ERC20)
CRE|Carry|CRE|Carry|True|True|Ethereum(ERC20)
TSX|TradeStars|TSX|TradeStars|False|True|Ethereum(ERC20)
TSX|TradeStars|TSX|TradeStars|False|True|BNB Smart Chain(BEP20)
TSY|TASAYI|TSY|TASAYI|False|True|BNB Smart Chain(BEP20)
LCT|Local Traders|LCT|Local Traders|False|True|BNB Smart Chain(BEP20)
PLUT|Plutos Network|PLUT|Plutos Network|False|True|BNB Smart Chain(BEP20)
CRP|CropperFinance|CRP|CropperFinance|False|True|Solana(SOL)
XCHNG|Chainge|XCHNG|Chainge|True|True|Ethereum(ERC20)
CRO|Crypto|CRO|Crypto|True|True|Ethereum(ERC20)
CRO|Crypto|CRO|Crypto|True|True|CRO
CRO|Crypto|CRO|Crypto|True|True|CRONOS
TTC|TongTongCoin|TTC|TongTongCoin|True|True|TTC
VEXT|Veloce|VEXT|Veloce|True|True|Polygon(MATIC)
CRT|Cantina Royale|CRT|Cantina Royale|True|True|EGLD
CRV|Curve|CRV|Curve|True|True|Ethereum(ERC20)
CLOUD|NFTCloud|CLOUD|NFTCloud|False|False|BNB Smart Chain(BEP20)
CRU|Crust Network|CRU|Crust Network|True|False|Ethereum(ERC20)
CRU|Crust Network|CRU|Crust Network|True|True|CRUST
TTM|Tradetomato|TTM|Tradetomato|True|True|BNB Smart Chain(BEP20)
DOGEGANG|DOGEGANG|DOGEGANG|DOGEGANG|True|True|BNB Smart Chain(BEP20)
SOLPEPE|SOLPEPE|SOLPEPE|SOLPEPE|True|True|BNB Smart Chain(BEP20)
TTT|TabTrader Token|TTT|TabTrader Token|True|True|Solana(SOL)
LDO|Lido DAO|LDO|Lido DAO|True|True|Ethereum(ERC20)
SEAM|Seamless|SEAM|Seamless|True|True|Ethereum(ERC20)
LDS|LDS|LDS|LDS|False|True|Ethereum(ERC20)
SEAL|SEAL|SEAL|SEAL|True|True|Ethereum(ERC20)
LDX|Ledgix|LDX|Ledgix|True|True|BNB Smart Chain(BEP20)
CSP|Caspian|CSP|Caspian|False|True|Ethereum(ERC20)
BTTOLD|BitTorrent Old|BTTOLD|BitTorrent Old|False|True|Tron(TRC20)
FAVOR|Favor|FAVOR|Favor|False|False|KLAY
LED|LEDGIS|LED|LEDGIS|False|False|LED
LEE|Love Earn Enjoy|LEE|Love Earn Enjoy|True|True|BNB Smart Chain(BEP20)
REACH|Reach|REACH|Reach|True|True|Ethereum(ERC20)
CODE|CODE|CODE|CODE|False|True|Ethereum(ERC20)
CTC|Creditcoin|CTC|Creditcoin|True|True|Ethereum(ERC20)
CTK|CertiK|CTK|CertiK|True|True|BNB Smart Chain(BEP20)
DCXEN|XEN Crypto|DCXEN|XEN Crypto|False|True|Dogechain(DC)
CTN|Continuum Finance|CTN|Continuum Finance|True|True|BNB Smart Chain(BEP20)
PAZZI|Paparazzi|PAZZI|Paparazzi|False|True|Ethereum(ERC20)
CTO|Chief Troll Officer|CTO|Chief Troll Officer|True|True|BNB Smart Chain(BEP20)
MATIC|MATIC-MATIC|MATIC|Polygon|True|True|Ethereum(ERC20)
MATIC|MATIC-MATIC|MATIC|MATIC-MATIC|True|True|Polygon(MATIC)
CTT|CryptoTycoon|CTT|CryptoTycoon|False|True|BNB Smart Chain(BEP20)
NFTC|NFT Combining|NFTC|NFT Combining|True|True|BNB Smart Chain(BEP20)
MTRM|Materium|MTRM|Materium|True|True|Ethereum(ERC20)
TVK|Virtua|TVK|Virtua|False|False|Ethereum(ERC20)
MTRX|Metarix|MTRX|Metarix|True|True|BNB Smart Chain(BEP20)
CTY|Custodiy|CTY|Custodiy|False|False|BNB Smart Chain(BEP20)
NFTD|NFTrade|NFTD|NFTrade|False|True|Ethereum(ERC20)
NFTD|NFTrade|NFTD|NFTrade|False|False|BNB Smart Chain(BEP20)
LFG|Gamerse|LFG|Gamerse|True|True|BNB Smart Chain(BEP20)
SECG|0xSuiExchange|SECG|0xSuiExchange|False|True|BNB Smart Chain(BEP20)
BITCOIN1|HarryPotterObamaInu|BITCOIN1|HarryPotterObamaInu|False|True|Ethereum(ERC20)
NFTL|NFTLaunch|NFTL|NFTLaunch|False|True|BNB Smart Chain(BEP20)
SAUBER|Sauber FT|SAUBER|Sauber FT|False|False|Chiliz Chain(CHZ2)
NFTY|NFTY Network|NFTY|NFTY Network|True|True|Ethereum(ERC20)
LFT|LendFlare DAO|LFT|LendFlare DAO|False|True|Ethereum(ERC20)
CUP|CouponBay|CUP|CouponBay|False|True|Ethereum(ERC20)
XCOM|X.COM|XCOM|X.COM|False|True|Ethereum(ERC20)
JONES|Jones DAO|JONES|Jones DAO|True|True|Arbitrum One(ARB)
HEBE|Hebe Wallet|HEBE|Hebe Wallet|False|True|Ethereum Classic(ETC)
QUACKS|Star Quack|QUACKS|Star Quack|False|True|BNB Smart Chain(BEP20)
TWO|TWO|TWO|TWO|False|True|Ethereum(ERC20)
NODL|Nodle|NODL|Nodle|True|True|Nodle
TWT|Trust Wallet|TWT|Trust Wallet|True|True|BNB Smart Chain(BEP20)
COFI|CoFi Token|COFI|CoFi Token|False|True|Ethereum(ERC20)
COOKOLD|COOK|COOKOLD|COOK|False|False|Ethereum(ERC20)
COOKOLD|COOK|COOKOLD|COOK|False|True|BNB Smart Chain(BEP20)
MTRG|Meter Governance|MTRG|Meter Governance|True|True|Meter(MTRG)
GENEDAO|GenomesDAO|GENEDAO|GenomesDAO|False|True|Arbitrum One(ARB)
TXA|Project TXA|TXA|Project TXA|True|True|Ethereum(ERC20)
CVP|Power Pool|CVP|Power Pool|True|True|Ethereum(ERC20)
BTSC|BTS Chain|BTSC|BTS Chain|False|True|BNB Smart Chain(BEP20)
YODE|YodeSwap|YODE|YodeSwap|False|True|Dogechain(DC)
CVR|CoverCompared|CVR|CoverCompared|False|True|Ethereum(ERC20)
CVT|CyberVein|CVT|CyberVein|True|True|Ethereum(ERC20)
RONALD|Ronald McDonald|RONALD|Ronald McDonald|True|True|Arbitrum One(ARB)
CVX|Convex Finance|CVX|Convex Finance|True|True|Ethereum(ERC20)
CVZ|CryptoVsZombie|CVZ|CryptoVsZombie|False|True|BNB Smart Chain(BEP20)
LHB|LendHub|LHB|LendHub|False|False|HECO
TOKKI|CRYPTOKKI|TOKKI|CRYPTOKKI|True|True|Klaytn(KLAY)
SUSHI|SushiSwap|SUSHI|SUSHI|True|True|Ethereum(ERC20)
SUSHI|SushiSwap|SUSHI|SushiSwap|False|False|Solana(SOL)
COGO|COGO|COGO|COGO|False|True|Ethereum(ERC20)
PUMP|2024 PUMP|PUMP|2024 PUMP|True|True|BNB Smart Chain(BEP20)
BUGAT|BUGAT|BUGAT|BUGAT|False|True|Ethereum(ERC20)
TXT|TX SWAP|TXT|TX SWAP|True|True|BNB Smart Chain(BEP20)
CWD|CROWD|CWD|CROWD|False|True|Ethereum(ERC20)
KNOB|Knobcoin|KNOB|Knobcoin|True|True|Solana(SOL)
COGE|Cogecoin|COGE|Cogecoin|True|True|Ethereum(ERC20)
SEED|Seed.Photo|SEED|Seed.Photo|True|True|BNB Smart Chain(BEP20)
DUELOLD2|Duel Network|DUELOLD2|Duel Network|False|True|Polygon(MATIC)
CWS|Crowns|CWS|Crowns|True|True|BNB Smart Chain(BEP20)
SEEL|Seele Token|SEEL|Seele Token|True|True|Ethereum(ERC20)
CWV|CryptoWorld.VIP|CWV|CryptoWorld.VIP|False|True|Ethereum(ERC20)
CELOTESTTOKEN|CELOTESTTOKEN|CELOTESTTOKEN|CELOTESTTOKEN|False|False|CELO_TEST
HMTT|Hype Meme Token|HMTT|Hype Meme Token|True|True|BNB Smart Chain(BEP20)
BLES|Blind Boxes Token|BLES|Blind Boxes Token|False|True|Ethereum(ERC20)
PEEPO|PEEPO|PEEPO|PEEPO|False|True|Ethereum(ERC20)
TYP|The Youth Pay|TYP|The Youth Pay|False|True|Ethereum(ERC20)
CLORE|Clore AI|CLORE|Clore AI|True|True|Clore.ai(CLORE)
BALPHA|bAlpha|BALPHA|bAlpha|False|True|Ethereum(ERC20)
AFCOLD|AFC|AFCOLD|AFC|False|False|Chiliz Legacy Chain(CHZ)
TYT|Bounty Temple|TYT|Bounty Temple|False|False|Polygon(MATIC)
CXD|CortexDAO|CXD|CortexDAO|False|True|Ethereum(ERC20)
UBXS|UBXS Token|UBXS|UBXS Token|True|True|BNB Smart Chain(BEP20)
LIT|Litentry|LIT|Litentry|True|True|Ethereum(ERC20)
EDLC|Edelcoin|EDLC|Edelcoin|False|False|Ethereum(ERC20)
AIBB|BullBear AI|AIBB|BullBear AI|True|True|Arbitrum One(ARB)
NFUP|NFUP|NFUP|NFUP|False|True|Ethereum(ERC20)
SMTY|SMTY-BSC|SMTY|Smoothy|False|True|Ethereum(ERC20)
SMTY|SMTY-BSC|SMTY|SMTY-BSC|False|True|BNB Smart Chain(BEP20)
MCRT|MagicCraft|MCRT|MagicCraft|True|True|BNB Smart Chain(BEP20)
BCST|BlockChainStore|BCST|BlockChainStore|False|False|Ethereum(ERC20)
3P|Web3Camp|3P|Web3Camp|False|False|BNB Smart Chain(BEP20)
MTVT|Metaverser|MTVT|Metaverser|True|False|BNB Smart Chain(BEP20)
ZIZY|ZIZY|ZIZY|ZIZY|False|True|Polygon(MATIC)
AICO|AICON|AICO|AICON|False|True|Klaytn(KLAY)
CYC|CYCLONE PROTOCOL |CYC|CYCLONE PROTOCOL |False|True|Ethereum(ERC20)
CYC|CYCLONE PROTOCOL |CYC|CYCLONE PROTOCOL |False|False|BNB Smart Chain(BEP20)
BCUG|BCUG|BCUG|BCUG|False|True|Ethereum(ERC20)
AICN|Ai Coinova|AICN|Ai Coinova|False|True|BNB Smart Chain(BEP20)
COIN|Coin Artist|COIN|Coin Artist|False|True|Ethereum(ERC20)
CRYPT|Cryptia|CRYPT|Cryptia|False|True|BNB Smart Chain(BEP20)
WICC|WaykiChain|WICC|WaykiChain|False|True|WICC
CYS|Cyclos|CYS|Cyclos|False|True|Solana(SOL)
LUCKY|LUCKY|LUCKY|LUCKY|False|True|Ethereum(ERC20)
ORKL|Orakler|ORKL|Orakler|False|True|BNB Smart Chain(BEP20)
HELMET|Helmetinsure|HELMET|Helmetinsure|False|True|BNB Smart Chain(BEP20)
HEFI|HeFi|HEFI|HeFi|True|True|BNB Smart Chain(BEP20)
ACUMEN|ACUMEN|ACUMEN|ACUMEN|False|True|Solana(SOL)
AQUA|Planet|AQUA|Planet|False|True|BNB Smart Chain(BEP20)
BAMBOO|BAMBOO|BAMBOO|BAMBOO|False|True|Ethereum(ERC20)
YAMV2|YAM Farmer|YAMV2|YAM Farmer|False|True|Ethereum(ERC20)
FGPT|FoxGPT|FGPT|FoxGPT|False|True|BNB Smart Chain(BEP20)
YAMV3|YAM Farmer|YAMV3|YAM Farmer|False|False|Ethereum(ERC20)
RUN5KM|FiveKM RUN|RUN5KM|FiveKM RUN|False|True|Ethereum(ERC20)
MCTU|Muverse|MCTU|Muverse|False|True|Ethereum(ERC20)
LGBTQ|Gays Inu|LGBTQ|Gays Inu|True|True|BNB Smart Chain(BEP20)
MCTP|Metacraft Token|MCTP|Metacraft Token|False|True|BNB Smart Chain(BEP20)
CZT|Coezal|CZT|Coezal|False|True|Ethereum(ERC20)
ORLA|Ordi Launch|ORLA|Ordi Launch|True|True|Ethereum(ERC20)
VCFOLD|VCF|VCFOLD|VCF|False|False|Chiliz Legacy Chain(CHZ)
LIEN|lien|LIEN|lien|False|True|Ethereum(ERC20)
AIEN|AIEnglish|AIEN|AIEnglish|False|True|Arbitrum One(ARB)
EURT|Tether EURt|EURT|Tether EURt|True|True|Ethereum(ERC20)
PURE|Pureswap|PURE|Pureswap|False|True|BNB Smart Chain(BEP20)
LIFE|Life Crypto|LIFE|Life Crypto|True|True|Ethereum(ERC20)
LIFE|Life Crypto|LIFE|Life Crypto|True|True|BNB Smart Chain(BEP20)
AKITAX|Akitavax|AKITAX|Akitavax|True|True|Avalanche C Chain(AVAX CCHAIN)
KNIGHT|Forest Knight|KNIGHT|Forest Knight|False|True|Polygon(MATIC)
LQTY|Liquity|LQTY|Liquity|True|True|Ethereum(ERC20)
MMSSCAT|MMSSCAT|MMSSCAT|MMSSCAT|False|True|BNB Smart Chain(BEP20)
COLT|Collateral Network|COLT|Collateral Network|True|True|Ethereum(ERC20)
DANA|Ardana|DANA|Ardana|False|True|Cardano(ADA)
LMV|League of Metaverse|LMV|League of Metaverse|False|False|BNB Smart Chain(BEP20)
WELSH|Welshcorgicoin|WELSH|Welshcorgicoin|True|True|STACKS
ORNJ|Orange|ORNJ|Orange|True|True|BRC20
COLA|BlockCola|COLA|BlockCola|False|True|Tron(TRC20)
EMAX|EthereumMax|EMAX|EthereumMax|False|True|Ethereum(ERC20)
ZANO|ZANO|ZANO|ZANO|True|True|ZANO
RUNOLD|RunNode|RUNOLD|RunNode|False|True|Solana(SOL)
BLK1|BLinkToken|BLK1|BLinkToken|False|False|BNB Smart Chain(BEP20)
COMP|Compound|COMP|Compound|True|True|Ethereum(ERC20)
LNR|Lunar|LNR|Lunar|True|True|BNB Smart Chain(BEP20)
SUNDAEOLD|SundaeSwap|SUNDAEOLD|SundaeSwap|False|True|Cardano(ADA)
TYPE|TypeIt|TYPE|TypeIt|True|True|BNB Smart Chain(BEP20)
LARIX|Larix|LARIX|Larix|False|True|Solana(SOL)
SMILEAI|HappyAI|SMILEAI|HappyAI|True|True|Optimism(OP)
DAPP|LiquidApps|DAPP|LiquidApps|False|True|EOS
FCKIT|FCKIT|FCKIT|FCKIT|False|True|Ethereum(ERC20)
ALPINE|AlpineF1TeamFanToken|ALPINE|AlpineF1TeamFanToken|True|True|BNB Smart Chain(BEP20)
LEVER|Lever|LEVER|Lever|True|True|Ethereum(ERC20)
CATHEONIOU|CATHEONIOU|CATHEONIOU|CATHEONIOU|False|False|NONE
CAOLD|Coupon Assets|CAOLD|Coupon Assets|False|True|Ethereum(ERC20)
LOL|LOL|LOL|LOL|False|True|BNB Smart Chain(BEP20)
CONX|Connex|CONX|Connex|True|True|BNB Smart Chain(BEP20)
PSYCHO|Psycho|PSYCHO|Psycho|False|True|Ethereum(ERC20)
LON|Tokenlon|LON|Tokenlon|False|True|Ethereum(ERC20)
DORKL|DORK LORD|DORKL|DORK LORD|True|True|Ethereum(ERC20)
CONV|Convergence|CONV|Convergence|True|True|Ethereum(ERC20)
YOLO|YOLO|YOLO|YOLO|True|True|BNB Smart Chain(BEP20)
CBANK|CASH BANK|CBANK|CASH BANK|False|True|BNB Smart Chain(BEP20)
FPFT|PeruvianNational Fan|FPFT|PeruvianNational Fan|True|True|BITCI
AZIT|Azit|AZIT|Azit|True|True|Klaytn(KLAY)
WIFI|WiFi Map|WIFI|WiFi Map|False|True|Polygon(MATIC)
MLTPX|MoonLift Capital|MLTPX|MoonLift Capital|False|True|BNB Smart Chain(BEP20)
SEIYAN|SEIYAN|SEIYAN|SEIYAN|False|True|Sei
PUSH|EPNS|PUSH|EPNS|True|True|Ethereum(ERC20)
SKYDROME|Skydrome|SKYDROME|Skydrome|True|True|SCROLL
VRYNT|VRYNT|VRYNT|VRYNT|False|True|Avalanche C Chain(AVAX CCHAIN)
NOOT|NOOT|NOOT|NOOT|False|True|BNB Smart Chain(BEP20)
LPT|Livepeer|LPT|Livepeer|True|True|Ethereum(ERC20)
COOK|Cook Simpson|COOK|Cook Simpson|True|True|BNB Smart Chain(BEP20)
LQD|Liquidity Network|LQD|Liquidity Network|False|True|Ethereum(ERC20)
BLLB|Bitland|BLLB|Bitland|True|True|Ethereum(ERC20)
GROKGIRL|Grok Girl|GROKGIRL|Grok Girl|True|True|BNB Smart Chain(BEP20)
KRIPTO|KriptoKoin|KRIPTO|KriptoKoin|True|True|BITCI
DARK|Darkweb Metaverse|DARK|Darkweb Metaverse|False|True|Ethereum(ERC20)
UBX|Ubix.Network|UBX|Ubix.Network|True|True|Ethereum(ERC20)
SELF|SELF Crypto|SELF|SELF Crypto|True|True|BNB Smart Chain(BEP20)
MODEL|Model Labs|MODEL|Model Labs|True|True|BNB Smart Chain(BEP20)
DAG|Constellation|DAG|Constellation|True|True|DAG
DAI|DAI|DAI|DAI|True|True|Ethereum(ERC20)
MCADE|Metacade|MCADE|Metacade|False|True|Ethereum(ERC20)
MRPOTATO|Mr Potato|MRPOTATO|Mr Potato|False|True|Ethereum(ERC20)
DARC|Konstellation|DARC|Konstellation|True|True|DARC
DAM|Datamine|DAM|Datamine|False|False|Ethereum(ERC20)
SELO|Selo|SELO|Selo|True|True|Klaytn(KLAY)
DAO|DAO Maker|DAO|DAO Maker|True|True|Ethereum(ERC20)
HEME|HEME DAO|HEME|HEME DAO|False|True|BNB Smart Chain(BEP20)
DAR|Mines of Dalarnia|DAR|Mines of Dalarnia|True|True|BNB Smart Chain(BEP20)
DAR|Mines of Dalarnia|DAR|Mines of Dalarnia|True|True|Ethereum(ERC20)
THOL|AngelBlock|THOL|AngelBlock|True|True|Ethereum(ERC20)
ETHBULL|3X Long Ethereum|ETHBULL|3X Long Ethereum|True|True|Ethereum(ERC20)
DAV|DAV NETWORK|DAV|DAV NETWORK|False|False|Ethereum(ERC20)
UCF|UC Finance|UCF|UC Finance|False|True|Polygon(MATIC)
X2Y2|X2Y2|X2Y2|X2Y2|True|True|Ethereum(ERC20)
BARTSIMPSON|Bart Simpson|BARTSIMPSON|Bart Simpson|False|True|Ethereum(ERC20)
LRC|Loopring|LRC|Loopring|True|True|Ethereum(ERC20)
CORE|Core DAO|CORE|Core DAO|True|True|CORE
SELLC|SellToken|SELLC|SellToken|False|True|BNB Smart Chain(BEP20)
CORA|Corra.Finance|CORA|Corra.Finance|False|True|Ethereum(ERC20)
ALPACA|Alpaca Finance|ALPACA|Alpaca Finance|True|True|BNB Smart Chain(BEP20)
MEPAD|MEMEPAD|MEPAD|MEMEPAD|False|True|BNB Smart Chain(BEP20)
DASH|DASH|DASH|DASH|True|True|DASH
DBL|Doubloon|DBL|Doubloon|False|True|Arbitrum One(ARB)
DBL|Doubloon|DBL|Doubloon|False|False|Ethereum(ERC20)
WOMBAT|Wombat|WOMBAT|Wombat|False|True|Polygon(MATIC)
NORA|SnowCrash|NORA|SnowCrash|False|True|BNB Smart Chain(BEP20)
NORD|Nord Finance|NORD|Nord Finance|False|True|Ethereum(ERC20)
NORD|Nord Finance|NORD|Nord Finance|False|False|Polygon(MATIC)
MSHIB|MagicShibaStarter|MSHIB|MagicShibaStarter|False|True|Ethereum(ERC20)
DBY|MetaDerby|DBY|MetaDerby|False|True|Avalanche C Chain(AVAX CCHAIN)
LSD|LSD Coin|LSD|LSD Coin|True|True|Ethereum(ERC20)
LSC|LS TRADE|LSC|LS TRADE|False|True|BNB Smart Chain(BEP20)
ASMOLD2|ASM|ASMOLD2|ASM|False|False|Chiliz Legacy Chain(CHZ)
DCB|Decubate|DCB|Decubate|True|True|BNB Smart Chain(BEP20)
LSP|Lumenswap|LSP|Lumenswap|False|True|Stellar(XLM)
DCH|DCH|DCH|DCH|False|True|Ethereum(ERC20)
DCK|DexCheck|DCK|DexCheck|True|True|BNB Smart Chain(BEP20)
SEND|Send Finance|SEND|Send Finance|True|True|Ethereum(ERC20)
DCP|DataChainPro|DCP|DataChainPro|True|True|BNB Smart Chain(BEP20)
DCR|Decred|DCR|Decred|True|True|DCR
USACOIN|USACOIN|USACOIN|USACOIN|False|False|Ethereum(ERC20)
LIKE|Only1|LIKE|Only1|True|True|Solana(SOL)
EMGS|EMG SuperApp|EMGS|EMG SuperApp|False|True|Polygon(MATIC)
CORN|CORN|CORN|CORN|False|True|Tron(TRC20)
BIGPANDA|BIGPANDA|BIGPANDA|BIGPANDA|False|True|BNB Smart Chain(BEP20)
BLOK|Bloktopia|BLOK|Bloktopia|True|True|Polygon(MATIC)
BLOK|Bloktopia|BLOK|Bloktopia|True|True|BNB Smart Chain(BEP20)
LTC|Litecoin|LTC|Litecoin|True|True|Litecoin(LTC)
RUNEOLD|THORChain|RUNEOLD|THORChain|False|False|NONE
PIINS|PIIN Token|PIINS|PIIN Token|True|True|Ethereum(ERC20)
SENT|SENTinel|SENT|SENTinel|False|True|Ethereum(ERC20)
GUILD|BlockchainSpace|GUILD|BlockchainSpace|True|True|Ethereum(ERC20)
GSPI|Governance|GSPI|Governance|False|True|BNB Smart Chain(BEP20)
DDD|Scry|DDD|Scry|False|True|Ethereum(ERC20)
LTO|LTO Network|LTO|LTO Network|False|True|BNB Smart Chain(BEP20)
MUBI|MUBI|MUBI|MUBI|True|True|Ethereum(ERC20)
HERA|Hero Arena|HERA|Hero Arena|False|True|BNB Smart Chain(BEP20)
AIMX|Mind Matrix|AIMX|Mind Matrix|True|True|BNB Smart Chain(BEP20)
1BOX|1BOX|1BOX|1BOX|False|True|BNB Smart Chain(BEP20)
AIMS|AI Matrix System|AIMS|AI Matrix System|False|False|Ethereum(ERC20)
LTX|Lattice Token|LTX|Lattice Token|False|True|Ethereum(ERC20)
LINA|Linear|LINA|Linear|True|True|Ethereum(ERC20)
PLASTIK|Plastiks|PLASTIK|Plastiks|False|True|CELO
MYRIA|Myria|MYRIA|Myria|True|True|Ethereum(ERC20)
LINK|ChainLink|LINK|ChainLink|True|True|Ethereum(ERC20)
DDX|DerivaDAO|DDX|DerivaDAO|False|True|Ethereum(ERC20)
LUD|Ludos|LUD|Ludos|False|True|Ethereum(ERC20)
LUC|Lucretius|LUC|Lucretius|False|True|Ripple(XRP)
HERO|Step Hero|HERO|Step Hero|True|True|BNB Smart Chain(BEP20)
UFO|UFO Gaming|UFO|UFO Gaming|True|True|Ethereum(ERC20)
DEB|DEB|DEB|DEB|True|True|DEB
WILD|Wilder World|WILD|Wilder World|True|True|Ethereum(ERC20)
UFT|UniLend|UFT|UniLend|True|True|Ethereum(ERC20)
OATH|Oath|OATH|Oath|False|True|Fantom(FTM)
DEC|Dark Energy Crystals|DEC|Dark Energy Crystals|False|True|BNB Smart Chain(BEP20)
LOVEDEESSE|Deesse|LOVEDEESSE|Deesse|False|True|Ethereum(ERC20)
DEG|Degis|DEG|Degis|False|True|Avalanche C Chain(AVAX CCHAIN)
DEL|Decimal|DEL|Decimal|True|True|DEL
LUS|Luna Rush|LUS|Luna Rush|False|False|BNB Smart Chain(BEP20)
LUX|LUXWORLD|LUX|LUXWORLD|False|True|Arbitrum One(ARB)
GSWIFT|GameSwift|GSWIFT|GameSwift|True|True|Arbitrum One(ARB)
DEP|DEAPcoin|DEP|DEAPcoin|True|True|Ethereum(ERC20)
DEP|DEAPcoin|DEP|DEAPcoin|True|True|BNB Smart Chain(BEP20)
AINS|Ains domains|AINS|Ains domains|False|True|BNB Smart Chain(BEP20)
DEV|DeVerse|DEV|DeVerse|False|True|Ethereum(ERC20)
MDULY|MDULUCKY|MDULY|MDULUCKY|False|False|Ethereum(ERC20)
POROLD|POR|POROLD|POR|False|False|Chiliz Legacy Chain(CHZ)
KRIDA|Krida Fan|KRIDA|Krida Fan|False|True|Polygon(MATIC)
NXDT|NXD Next|NXDT|NXD Next|True|True|BNB Smart Chain(BEP20)
DFA|DeFine|DFA|DeFine|False|True|Ethereum(ERC20)
COTI|COTI|COTI|COTI|True|True|Ethereum(ERC20)
COTI|COTI|COTI|COTI|True|True|BNB Smart Chain(BEP20)
DFC|DF Capital DAO|DFC|DF Capital DAO|True|True|Toncoin(TON)
ADDCLAS|Clash of adventure|ADDCLAS|Clash of adventure|False|True|BNB Smart Chain(BEP20)
RJVOLD|RejuveAI|RJVOLD|RejuveAI|False|False|Ethereum(ERC20)
CREDIT|Proxi DeFi|CREDIT|Proxi DeFi|False|True|Ethereum(ERC20)
LVL|Level Finance|LVL|Level Finance|True|True|BNB Smart Chain(BEP20)
DFD|DefiDollar|DFD|DefiDollar|False|False|BNB Smart Chain(BEP20)
DFD|DefiDollar|DFD|DefiDollar|False|True|Ethereum(ERC20)
LVN|Levana|LVN|Levana|True|True|OSMO
DFI|DfiStarter|DFI|DfiStarter|True|True|BNB Smart Chain(BEP20)
NOVA|Nova|NOVA|Nova|False|True|Ethereum(ERC20)
COVA|Covalent|COVA|Covalent|False|True|Ethereum(ERC20)
BOGEY|Bogey|BOGEY|Bogey|False|True|BNB Smart Chain(BEP20)
DFM|DeFi Mall|DFM|DeFi Mall|True|True|Ethereum(ERC20)
DFL|DeFi Land|DFL|DeFi Land|False|True|Solana(SOL)
DEFIT|Digital Fitness|DEFIT|Digital Fitness|False|True|Polygon(MATIC)
THING|nothing|THING|nothing|False|True|Ethereum(ERC20)
HETH|HETH|HETH|HETH|False|False|HECO
DFS|DeFis Network|DFS|DeFis Network|False|True|EOS
FLOOR|FloorDAO|FLOOR|FloorDAO|False|True|Ethereum(ERC20)
DFT|dFuture|DFT|dFuture|False|False|HECO
SAKAI|Sakai Vault|SAKAI|Sakai Vault|True|True|BNB Smart Chain(BEP20)
DFY|Defi For You|DFY|Defi For You|False|True|BNB Smart Chain(BEP20)
DFX|DFX Finance|DFX|DFX Finance|False|True|Ethereum(ERC20)
LWD|LandWorld|LWD|LandWorld|False|True|Ethereum(ERC20)
TIDAL|Tidal Finance|TIDAL|Tidal Finance|True|True|Ethereum(ERC20)
