gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
LQTYUSDT|None|None|lqtyusdt|LQTY-USDT|LQTYUSDT|2
BCHUSDT|BCH-USDT|BCH_USDT|bchusdt|BCH-USDT|BCHUSDT|0
SWFTCUSDT|None|None|swftcusdt|SWFTC-USDT|None|3
SUKUUSDT|None|None|sukuusdt|None|SUKUUSDT|3
VEMPUSDT|None|None|vempusdt|None|VEMPUSDT|3
API3USDT|None|None|api3usdt|API3-USDT|API3USDT|2
BERRYUSDT|None|None|berryusdt|None|BERRYUSDT|3
ACHUSDT|None|None|achusdt|ACH-USDT|ACHUSDT|2
NEOUSDT|None|NEO_USDT|neousdt|NEO-USDT|NEOUSDT|1
LTCBTC|None|LTC_BTC|ltcbtc|LTC-BTC|LTCBTC|1
HIVEUSDT|None|None|hiveusdt|None|HIVEUSDT|3
BGBUSDT|BGB-USDT|None|None|None|BGBUSDT|3
DFUSDT|None|None|dfusdt|None|DFUSDT|3
CAKEUSDT|None|None|cakeusdt|None|CAKEUSDT|3
MRSTUSDT|None|None|None|MRST-USDT|MRSTUSDT|3
BNBUSDC|None|None|None|BNB-USDC|BNBUSDC|3
UNBUSDT|None|None|unbusdt|None|UNBUSDT|3
SMTUSDT|None|None|smtusdt|None|SMTUSDT|3
LTCUSDT|LTC-USDT|LTC_USDT|ltcusdt|LTC-USDT|LTCUSDT|0
ZECUSDT|None|None|zecusdt|None|ZECUSDT|3
NFTUSDT|None|None|nftusdt|NFT-USDT|NFTUSDT|2
JASMYUSDT|None|None|jasmyusdt|None|JASMYUSDT|3
CROUSDT|None|None|None|CRO-USDT|CROUSDT|3
STETHETH|None|None|stetheth|STETH-ETH|None|3
ORDSUSDT|None|None|ordsusdt|None|ORDSUSDT|3
OASUSDT|None|None|oasusdt|OAS-USDT|OASUSDT|2
IMXUSDT|None|None|imxusdt|IMX-USDT|IMXUSDT|2
POLCUSDT|None|None|polcusdt|None|POLCUSDT|3
MENGOUSDT|None|None|None|MENGO-USDT|MENGOUSDT|3
ORDIUSDT|ORDI-USDT|None|ordiusdt|ORDI-USDT|ORDIUSDT|1
METISUSDT|None|None|metisusdt|METIS-USDT|METISUSDT|2
DCKUSDT|None|None|dckusdt|None|DCKUSDT|3
XNOUSDT|None|None|xnousdt|XNO-USDT|None|3
MYRIAUSDT|None|None|None|MYRIA-USDT|MYRIAUSDT|3
YFIIUSDT|None|None|yfiiusdt|YFII-USDT|YFIIUSDT|2
KAVAUSDT|None|None|kavausdt|None|KAVAUSDT|3
OXTUSDT|None|None|oxtusdt|OXT-USDT|OXTUSDT|2
SEIUSDT|None|None|seiusdt|None|SEIUSDT|3
GMTUSDT|GMT-USDT|GMT_USDT|gmtusdt|GMT-USDT|GMTUSDT|0
BRWLUSDT|None|None|brwlusdt|BRWL-USDT|None|3
KSMUSDT|None|None|ksmusdt|KSM-USDT|KSMUSDT|2
BRISEUSDT|None|None|briseusdt|None|BRISEUSDT|3
SUNUSDT|None|None|sunusdt|SUN-USDT|SUNUSDT|2
FLOKIUSDT|FLOKI-USDT|FLOKI_USDT|flokiusdt|FLOKI-USDT|FLOKIUSDT|0
BXENUSDT|None|None|bxenusdt|None|BXENUSDT|3
SOFIUSDT|None|None|sofiusdt|None|SOFIUSDT|3
DODOUSDT|None|None|dodousdt|None|DODOUSDT|3
TRXBTC|None|TRX_BTC|trxbtc|TRX-BTC|TRXBTC|1
MATICUSDT|MATIC-USDT|MATIC_USDT|maticusdt|MATIC-USDT|MATICUSDT|0
XETAUSDT|None|None|xetausdt|XETA-USDT|XETAUSDT|2
OPUSDC|None|None|None|OP-USDC|OPUSDC|3
JSTUSDT|None|None|jstusdt|JST-USDT|JSTUSDT|2
GMEEUSDT|None|None|gmeeusdt|None|GMEEUSDT|3
MASKUSDT|MASK-USDT|None|maskusdt|MASK-USDT|MASKUSDT|1
PENDLEUSDT|None|None|pendleusdt|None|PENDLEUSDT|3
POOHUSDT|None|None|poohusdt|None|POOHUSDT|3
LBRUSDT|None|None|None|LBR-USDT|LBRUSDT|3
DKAUSDT|None|None|dkausdt|None|DKAUSDT|3
APEUSDC|None|None|None|APE-USDC|APEUSDC|3
BTTUSDC|None|None|bttusdc|None|BTTUSDC|3
WNXMUSDT|None|None|wnxmusdt|None|WNXMUSDT|3
BTCSUSDT|BTCS-USDT|None|None|None|BTCSUSDT|3
XPLAUSDT|None|None|xplausdt|None|XPLAUSDT|3
GTAIUSDT|None|None|gtaiusdt|None|GTAIUSDT|3
FIOUSDT|None|None|fiousdt|None|FIOUSDT|3
CAUSDT|None|None|causdt|None|CAUSDT|3
PRISMAUSDT|None|None|prismausdt|None|PRISMAUSDT|3
CITYUSDT|None|None|None|CITY-USDT|CITYUSDT|3
HBARUSDT|None|None|hbarusdt|HBAR-USDT|HBARUSDT|2
LUNRUSDT|None|None|lunrusdt|None|LUNRUSDT|3
RLCUSDT|None|None|rlcusdt|None|RLCUSDT|3
LUNCUSDC|None|None|None|LUNC-USDC|LUNCUSDC|3
EULUSDT|None|None|eulusdt|None|EULUSDT|3
AZYUSDT|None|None|None|AZY-USDT|AZYUSDT|3
TITANUSDT|None|None|titanusdt|None|TITANUSDT|3
PRQUSDT|None|PRQ_USDT|prqusdt|PRQ-USDT|PRQUSDT|1
BTCTRY|None|None|btctry|BTC-TRY|None|3
WNCGUSDT|None|None|None|WNCG-USDT|WNCGUSDT|3
HCUSDT|None|None|None|HC-USDT|HCUSDT|3
ARKMUSDT|None|None|arkmusdt|None|ARKMUSDT|3
DUSKUSDT|None|None|duskusdt|None|DUSKUSDT|3
YGGUSDT|None|None|yggusdt|YGG-USDT|YGGUSDT|2
SOLBTC|None|SOL_BTC|solbtc|SOL-BTC|SOLBTC|1
RSRUSDT|None|None|rsrusdt|RSR-USDT|RSRUSDT|2
MAGICUSDT|None|None|magicusdt|MAGIC-USDT|MAGICUSDT|2
FCT2USDT|None|None|fct2usdt|None|FCT2USDT|3
MUDOL2USDT|None|None|mudol2usdt|None|MUDOL2USDT|3
XCNUSDT|None|None|xcnusdt|None|XCNUSDT|3
WIFIUSDT|None|None|wifiusdt|WIFI-USDT|None|3
XVGUSDT|None|None|xvgusdt|None|XVGUSDT|3
CEEKUSDT|None|None|ceekusdt|CEEK-USDT|CEEKUSDT|2
BETHETH|None|None|betheth|BETH-ETH|None|3
UNIUSDC|None|None|None|UNI-USDC|UNIUSDC|3
STPTUSDT|None|None|stptusdt|None|STPTUSDT|3
DOGEBTC|None|DOGE_BTC|dogebtc|DOGE-BTC|None|2
DCUSDT|None|None|dcusdt|None|DCUSDT|3
JOYUSDT|None|None|joyusdt|None|JOYUSDT|3
STGUSDT|None|None|stgusdt|None|STGUSDT|3
ONTUSDT|None|None|ontusdt|ONT-USDT|ONTUSDT|2
MAPUSDT|None|None|mapusdt|None|MAPUSDT|3
SDUSDT|SD-USDT|None|sdusdt|SD-USDT|SDUSDT|1
ATOMUSDT|None|ATOM_USDT|atomusdt|ATOM-USDT|ATOMUSDT|1
LINKUSDT|LINK-USDT|LINK_USDT|linkusdt|LINK-USDT|LINKUSDT|0
INGUSDT|None|None|ingusdt|None|INGUSDT|3
ELFUSDT|None|None|elfusdt|ELF-USDT|ELFUSDT|2
SOLUSDC|None|None|None|SOL-USDC|SOLUSDC|3
XLMBTC|None|XLM_BTC|None|XLM-BTC|XLMBTC|2
FLRUSDT|None|None|flrusdt|FLR-USDT|FLRUSDT|2
THGUSDT|None|None|None|THG-USDT|THGUSDT|3
TLOSUSDT|None|None|tlosusdt|None|TLOSUSDT|3
GFTUSDT|None|None|gftusdt|GFT-USDT|GFTUSDT|2
KUBEUSDT|None|None|kubeusdt|None|KUBEUSDT|3
XRPUSDC|None|None|None|XRP-USDC|XRPUSDC|3
IOTXUSDT|IOTX-USDT|None|iotxusdt|None|IOTXUSDT|2
O3USDT|None|None|o3usdt|None|O3USDT|3
KLAYUSDT|KLAY-USDT|None|klayusdt|KLAY-USDT|KLAYUSDT|1
ADABTC|None|ADA_BTC|adabtc|ADA-BTC|ADABTC|1
RADARUSDT|None|None|None|RADAR-USDT|RADARUSDT|3
BTCUSDC|None|None|btcusdc|BTC-USDC|BTCUSDC|2
ONEUSDT|None|ONE_USDT|oneusdt|ONE-USDT|ONEUSDT|1
SYNUSDT|None|None|synusdt|None|SYNUSDT|3
TRXUSDT|TRX-USDT|TRX_USDT|trxusdt|TRX-USDT|TRXUSDT|0
QTUMBTC|None|QTUM_BTC|None|QTUM-BTC|QTUMBTC|2
EOSUSDC|None|None|None|EOS-USDC|EOSUSDC|3
RADUSDT|None|None|radusdt|None|RADUSDT|3
VRTXUSDT|None|None|vrtxusdt|None|VRTXUSDT|3
NYMUSDT|None|None|nymusdt|NYM-USDT|NYMUSDT|2
NKNUSDT|None|None|nknusdt|None|NKNUSDT|3
MBXUSDT|None|None|mbxusdt|None|MBXUSDT|3
SMILEYUSDT|None|None|smileyusdt|None|SMILEYUSDT|3
ZEROUSDT|None|None|zerousdt|None|ZEROUSDT|3
LATUSDT|None|None|latusdt|LAT-USDT|LATUSDT|2
FISUSDT|None|None|fisusdt|None|FISUSDT|3
ANTUSDT|None|None|antusdt|ANT-USDT|ANTUSDT|2
CHESSUSDT|CHESS-USDT|None|None|None|CHESSUSDT|3
EURTUSDT|EURT-USDT|EURT_USDT|eurtusdt|EURT-USDT|EURTUSDT|0
MXCUSDT|None|None|mxcusdt|MXC-USDT|None|3
PCIUSDT|None|None|pciusdt|PCI-USDT|None|3
BTCUSDT|BTC-USDT|BTC_USDT|btcusdt|BTC-USDT|BTCUSDT|0
RAINUSDT|None|None|rainusdt|None|RAINUSDT|3
KISHUUSDT|None|None|None|KISHU-USDT|KISHUUSDT|3
CELUSDC|None|None|None|CEL-USDC|CELUSDC|3
LTCUSDC|None|None|None|LTC-USDC|LTCUSDC|3
GHSTUSDT|None|None|ghstusdt|GHST-USDT|GHSTUSDT|2
ELFETH|None|None|elfeth|None|ELFETH|3
ALPINEUSDT|ALPINE-USDT|None|None|None|ALPINEUSDT|3
TOPUSDT|None|None|topusdt|None|TOPUSDT|3
SDAOUSDT|None|None|sdaousdt|None|SDAOUSDT|3
TOMIUSDT|None|None|tomiusdt|None|TOMIUSDT|3
PEOPLEUSDT|PEOPLE-USDT|None|peopleusdt|PEOPLE-USDT|PEOPLEUSDT|1
COMPUSDT|COMP-USDT|None|compusdt|COMP-USDT|COMPUSDT|1
PONKEUSDT|None|None|ponkeusdt|None|PONKEUSDT|3
EMUSDT|None|None|emusdt|EM-USDT|None|3
AGIXUSDT|AGIX-USDT|None|agixusdt|AGIX-USDT|AGIXUSDT|1
BIGTIMEUSDT|None|None|None|BIGTIME-USDT|BIGTIMEUSDT|3
BOSONUSDT|None|None|bosonusdt|None|BOSONUSDT|3
CBKUSDT|None|None|cbkusdt|None|CBKUSDT|3
EVERUSDT|None|None|everusdt|None|EVERUSDT|3
JUPUSDT|None|None|jupusdt|JUP-USDT|JUPUSDT|2
XAUTUSDT|XAUT-USDT|XAUT_USDT|xautusdt|XAUT-USDT|XAUTUSDT|0
GFUSDT|None|None|gfusdt|GF-USDT|GFUSDT|2
ALICEUSDT|None|None|aliceusdt|None|ALICEUSDT|3
CAWUSDT|None|None|cawusdt|None|CAWUSDT|3
SPAUSDT|None|None|spausdt|None|SPAUSDT|3
C98USDT|None|None|c98usdt|None|C98USDT|3
XLMUSDT|XLM-USDT|XLM_USDT|xlmusdt|XLM-USDT|XLMUSDT|0
BONKUSDT|None|None|bonkusdt|BONK-USDT|BONKUSDT|2
KLAYUSDC|None|None|None|KLAY-USDC|KLAYUSDC|3
ALIUSDT|None|None|aliusdt|None|ALIUSDT|3
VELAUSDT|None|None|None|VELA-USDT|VELAUSDT|3
MOVRUSDT|None|None|movrusdt|MOVR-USDT|MOVRUSDT|2
BSVUSDT|None|None|bsvusdt|BSV-USDT|BSVUSDT|2
LAZIOUSDT|LAZIO-USDT|None|None|None|LAZIOUSDT|3
PHBUSDT|None|None|phbusdt|None|PHBUSDT|3
LPTUSDT|None|None|lptusdt|LPT-USDT|LPTUSDT|2
APTUSDT|None|None|aptusdt|APT-USDT|APTUSDT|2
KLVUSDT|None|None|klvusdt|None|KLVUSDT|3
STEEMUSDT|None|None|steemusdt|None|STEEMUSDT|3
LOOKSUSDT|None|None|looksusdt|LOOKS-USDT|LOOKSUSDT|2
SNTUSDT|None|None|sntusdt|SNT-USDT|SNTUSDT|2
INJUSDT|None|None|injusdt|INJ-USDT|INJUSDT|2
DASHBTC|None|DASH_BTC|None|None|DASHBTC|3
SNXUSDT|None|None|snxusdt|SNX-USDT|SNXUSDT|2
WXTUSDT|None|None|wxtusdt|WXT-USDT|None|3
DORAUSDT|None|None|dorausdt|DORA-USDT|DORAUSDT|2
WBTUSDT|None|None|wbtusdt|None|WBTUSDT|3
WSMUSDT|None|None|wsmusdt|WSM-USDT|WSMUSDT|2
WAXLUSDT|None|None|waxlusdt|None|WAXLUSDT|3
VRAUSDT|None|None|vrausdt|VRA-USDT|VRAUSDT|2
BEAMXUSDT|None|None|beamxusdt|None|BEAMXUSDT|3
DAIUSDT|None|DAI_USDT|daiusdt|DAI-USDT|DAIUSDT|1
VELODROMEUSDT|None|None|None|VELODROME-USDT|VELODROMEUSDT|3
ZETAUSDT|None|None|zetausdt|ZETA-USDT|ZETAUSDT|2
POLSUSDT|None|None|polsusdt|POLS-USDT|POLSUSDT|2
PERPUSDT|None|None|perpusdt|PERP-USDT|PERPUSDT|2
DOTBTC|None|DOT_BTC|dotbtc|DOT-BTC|DOTBTC|1
1CATUSDT|None|None|1catusdt|None|1CATUSDT|3
HOTUSDT|None|None|hotusdt|None|HOTUSDT|3
UNIBOTUSDT|None|None|unibotusdt|None|UNIBOTUSDT|3
KAIUSDT|None|None|kaiusdt|None|KAIUSDT|3
UTKUSDT|None|None|utkusdt|UTK-USDT|None|3
QTUMUSDT|None|QTUM_USDT|qtumusdt|QTUM-USDT|QTUMUSDT|1
WBTCBTC|None|None|wbtcbtc|WBTC-BTC|None|3
LINAUSDT|None|None|linausdt|None|LINAUSDT|3
IDEXUSDT|None|None|idexusdt|None|IDEXUSDT|3
AMPUSDT|None|None|ampusdt|None|AMPUSDT|3
BTTUSDT|None|None|bttusdt|BTT-USDT|BTTUSDT|2
MBLUSDT|None|None|mblusdt|None|MBLUSDT|3
ALTUSDT|None|None|altusdt|None|ALTUSDT|3
PSGUSDT|None|None|psgusdt|None|PSGUSDT|3
SNSUSDT|None|None|snsusdt|None|SNSUSDT|3
VSYSUSDT|None|None|vsysusdt|VSYS-USDT|VSYSUSDT|2
ZKFUSDT|None|None|zkfusdt|None|ZKFUSDT|3
MEMEUSDT|None|None|memeusdt|MEME-USDT|MEMEUSDT|2
VICUSDT|None|None|vicusdt|None|VICUSDT|3
MXUSDT|None|None|mxusdt|None|MXUSDT|3
SDNUSDT|None|None|sdnusdt|None|SDNUSDT|3
XDCUSDT|None|None|xdcusdt|None|XDCUSDT|3
ARTYUSDT|None|None|artyusdt|ARTY-USDT|ARTYUSDT|2
SSWPUSDT|None|None|None|SSWP-USDT|SSWPUSDT|3
LUNAUSDT|LUNA-USDT|None|lunausdt|LUNA-USDT|LUNAUSDT|1
ENJUSDT|ENJ-USDT|None|enjusdt|ENJ-USDT|ENJUSDT|1
XMRUSDT|None|None|xmrusdt|None|XMRUSDT|3
SXPUSDT|None|None|sxpusdt|None|SXPUSDT|3
BZZUSDT|None|None|None|BZZ-USDT|BZZUSDT|3
NEXOUSDT|None|None|nexousdt|None|NEXOUSDT|3
LMWRUSDT|None|None|lmwrusdt|None|LMWRUSDT|3
ONTBTC|None|ONT_BTC|None|None|ONTBTC|3
LHINUUSDT|None|None|lhinuusdt|LHINU-USDT|None|3
BICOUSDT|None|None|bicousdt|BICO-USDT|BICOUSDT|2
BOBUSDT|None|None|bobusdt|None|BOBUSDT|3
MATICBTC|None|None|maticbtc|MATIC-BTC|None|3
AKITAUSDT|None|None|None|AKITA-USDT|AKITAUSDT|3
USTCUSDT|None|None|ustcusdt|USTC-USDT|USTCUSDT|2
CHZUSDT|CHZ-USDT|CHZ_USDT|chzusdt|CHZ-USDT|CHZUSDT|0
CTCUSDT|None|None|ctcusdt|CTC-USDT|CTCUSDT|2
STCUSDT|None|None|stcusdt|STC-USDT|STCUSDT|2
ARIXUSDT|None|None|arixusdt|None|ARIXUSDT|3
BTCTUSD|None|None|btctusd|None|BTCTUSD|3
CRUUSDT|None|None|cruusdt|None|CRUUSDT|3
LIKEUSDT|None|None|likeusdt|None|LIKEUSDT|3
CVXUSDT|None|None|cvxusdt|CVX-USDT|CVXUSDT|2
ETHWUSDT|ETHW-USDT|None|ethwusdt|ETHW-USDT|ETHWUSDT|1
FXUSDT|None|None|fxusdt|None|FXUSDT|3
BAKEUSDT|None|None|bakeusdt|None|BAKEUSDT|3
FUSEUSDT|None|None|fuseusdt|None|FUSEUSDT|3
