gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
EGLDUSDT|None|None|egldusdt|EGLD-USDT|EGLDUSDT|2
WINUSDT|None|None|winusdt|WIN-USDT|WINUSDT|2
ROCOUSDT|None|None|rocousdt|None|ROCOUSDT|3
ELFBTC|None|None|elfbtc|None|ELFBTC|3
FUDUSDT|None|None|fudusdt|None|FUDUSDT|3
INSURUSDT|None|None|insurusdt|None|INSURUSDT|3
CVCUSDT|None|None|cvcusdt|CVC-USDT|None|3
NBSUSDT|None|None|nbsusdt|None|NBSUSDT|3
PYRUSDT|None|None|pyrusdt|None|PYRUSDT|3
GMPDUSDT|None|None|gmpdusdt|None|GMPDUSDT|3
BANDUSDT|None|None|bandusdt|BAND-USDT|None|3
DOGEUSDC|None|None|None|DOGE-USDC|DOGEUSDC|3
PYTHUSDT|None|None|pythusdt|PYTH-USDT|PYTHUSDT|2
DEXEUSDT|None|None|dexeusdt|None|DEXEUSDT|3
LOVELYUSDT|None|None|lovelyusdt|None|LOVELYUSDT|3
SOLUSDT|SOL-USDT|SOL_USDT|solusdt|SOL-USDT|SOLUSDT|0
MANTAUSDT|None|None|mantausdt|None|MANTAUSDT|3
KP3RUSDT|None|None|None|KP3R-USDT|KP3RUSDT|3
SPELLUSDT|None|None|spellusdt|SPELL-USDT|SPELLUSDT|2
OMNUSDT|None|None|None|OMN-USDT|OMNUSDT|3
YFIUSDT|YFI-USDT|YFI_USDT|yfiusdt|YFI-USDT|YFIUSDT|0
AERGOUSDT|None|None|None|AERGO-USDT|AERGOUSDT|3
MKRUSDT|MKR-USDT|MKR_USDT|mkrusdt|MKR-USDT|MKRUSDT|0
LINKETH|None|None|None|LINK-ETH|LINKETH|3
XFIUSDT|None|None|xfiusdt|None|XFIUSDT|3
ARPAUSDT|None|None|arpausdt|None|ARPAUSDT|3
KANUSDT|None|None|kanusdt|KAN-USDT|None|3
STORJUSDT|None|None|storjusdt|STORJ-USDT|STORJUSDT|2
TOXUSDT|None|None|toxusdt|None|TOXUSDT|3
ROUTEUSDT|None|None|routeusdt|None|ROUTEUSDT|3
DAOUSDT|None|None|daousdt|DAO-USDT|DAOUSDT|2
XECUSDT|None|None|xecusdt|XEC-USDT|XECUSDT|2
USDCUSDT|None|USDC_USDT|usdcusdt|USDC-USDT|USDCUSDT|1
VISIONUSDT|None|None|visionusdt|None|VISIONUSDT|3
ZELIXUSDT|None|None|zelixusdt|None|ZELIXUSDT|3
TURBOUSDT|None|None|turbousdt|TURBO-USDT|TURBOUSDT|2
KICKSUSDT|None|None|kicksusdt|None|KICKSUSDT|3
NGLUSDT|None|None|nglusdt|None|NGLUSDT|3
XCADUSDT|None|None|xcadusdt|None|XCADUSDT|3
PITUSDT|None|None|None|PIT-USDT|PITUSDT|3
CELRUSDT|None|None|None|CELR-USDT|CELRUSDT|3
ANALOSUSDT|None|None|analosusdt|None|ANALOSUSDT|3
QRDOUSDT|None|None|qrdousdt|None|QRDOUSDT|3
WHALEUSDT|None|None|whaleusdt|None|WHALEUSDT|3
NEARBTC|None|NEAR_BTC|None|NEAR-BTC|None|3
BNBUSDT|BNB-USDT|None|bnbusdt|BNB-USDT|BNBUSDT|1
SKLUSDT|None|None|sklusdt|SKL-USDT|SKLUSDT|2
TRUUSDT|None|None|truusdt|None|TRUUSDT|3
SWEATUSDT|None|None|sweatusdt|SWEAT-USDT|SWEATUSDT|2
