gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
CRVBTC|CRV-BTC|0.00001089|25|0.00001092|701.2622|0.00001087|2295.6841|0.00001057|0.00001103|0.00001057|0.534206118202|49464.9245|1708432120722|0.00001087|0.00001071||CRV|1|||||||SPOT|3|1597346596000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||BTC||live||0.00000001|
LSKUSDT|LSK-USDT|1.413|71.80854449|1.413|405.19145551|1.411|137.96952426|1.363|1.422|1.346|621779.19766988369|449507.25140868|1708432118212|1.37|1.365||LSK|1|||||||SPOT|5|1548133413000|0.00000001|9999999999.0000000000000000|20000000|9999999999|1000000|1000000|1000000|9999999999.0000000000000000|9999999999.0000000000000000|1||USDT||live||0.001|
IOTAUSDT|IOTA-USDT|0.2921|510.349195|0.2923|2039.045|0.2921|699.587682|0.2799|0.2936|0.2753|2075582.5978007813|7296072.723545|1708432124312|0.2831|0.2806||IOTA|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
BONKUSDT|BONK-USDT|0.000013077|23022217|0.000013079|19113521|0.000013077|175086446|0.000013115|0.00001331|0.00001249|1507748.243782492|117073480014|1708432124604|0.000012996|0.000013029||BONK|1|||||||SPOT|5|1704687914000|1|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100000||USDT||live||0.000000001|
AGLDUSDC|AGLD-USDC|1.388|83.3923|1.388|152.8811|1.384|966.1969|1.391|1.426|1.363|10453.6848128|7507.6265|1708432123611|1.424|1.408||AGLD|1|||||||SPOT||1658816142000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDC||live||0.001|
XRPUSDC|XRP-USDC|0.5713|1750.5852|0.5715|2762.2812|0.5713|3932.9408|0.5587|0.574|0.5541|1404402.8908426|2490633.2621|1708432124912|0.5627|0.5583||XRP|1|||||||SPOT|10|1585176747000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.0001|
CROBTC|CRO-BTC|0.00000176|330|0.000001759|15000|0.000001755|2430.425|0.000001733|0.000001776|0.000001733|0.323159534075|184493.759|1708432121812|0.000001769|0.00000175||CRO|1|||||||SPOT|3|1571785200000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|10||BTC||live||0.000000001|
APMUSDT|APM-USDT|0.00627|27450.260759|0.0063|2417.120676|0.00626|41835.778795|0.00626|0.00639|0.00615|89827.11892637204|14335836.308129|1708432124913|0.00625|0.00628||APM|1|||||||SPOT||1582320712000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
QTUMUSDT|QTUM-USDT|3.388|4.706464|3.392|94.788777|3.391|344.929855|3.338|3.409|3.246|2515759.992234386|753441.901237|1708432124506|3.368|3.331||QTUM|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.001|
CSPRUSDT|CSPR-USDT|0.03787|265.216814|0.03787|549.9999|0.03786|7056.637038|0.03863|0.03961|0.03718|2833832.07968714888|73713442.035833|1708432125104|0.03866|0.03893||CSPR|1|||||||SPOT|5|1620730802000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
ELONUSDT|ELON-USDT|0.000000163|72122865|0.0000001632|343159190|0.000000163|516290560|0.000000162|0.0000001639|0.0000001586|121611.373553389|752065540453|1708432084219|0.0000001626|0.0000001604||ELON|1|||||||SPOT||1635146385000|1|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|5000000|5000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|5000000||USDT||live||0.0000000001|
AVIVEUSDT|AVIVE-USDT|0.02959|118.252|0.02965|493.943|0.02959|2143.147|0.028|0.0367|0.02786|9487083.76824644|293296600.814|1708432123911|0.03165|0.03333||AVIVE|1|||||||SPOT||1702967068000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|10||USDT||live||0.00001|
XECUSDT|XEC-USDT|0.00003424|5462306.6|0.00003425|6331299.6|0.00003419|1000000|0.00003404|0.00003463|0.0000334|140034.040344953|4101906572.6|1708432123512|0.00003431|0.00003421||XEC|1|||||||SPOT||1626685200000|0.1|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100000||USDT||live||0.00000001|
