gen_name|original_name|best_bid|best_ask|best_bid_qty|best_ask_qty|last_price|last_qty|open24h|high24h|low24h|price_change24h|volume24h|volume_usd24h|quote_volume24h|display_name_x|quote_index_price|index_price|index_high24h|index_low24h|index_price_change24h|base_currency|quote_currency|display_name_y|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
GRTUSDT|GRT-USDT|0.186600000000|0.187500000000|262.000000000000|267.000000000000|0.187100000000|56.000000000000|0.181500000000|0.187600000000|0.179100000000|0.030853994490|922333.000000000000|168629.486589031607|168501.307100000000|GRT-USDT||||||GRT|USDT|GRT-USDT|GRT|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
IOTXUSDT|IOTX-USDT|0.047780000000|0.047870000000|5000.000000000000|4998.000000000000|0.047800000000|429.000000000000|0.046660000000|0.048910000000|0.046330000000|0.024432061723|7043374.000000000000|333932.572263861342|333691.071440000000|IOTX-USDT||||||IOTX|USDT|IOTX-USDT|IOTX|USDT|0.00001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|1
JUVUSDT|JUV-USDT|2.388000000000|2.398000000000|55.000000000000|60.000000000000|2.393000000000|6.000000000000|2.375000000000|2.402000000000|0.594000000000|0.007578947368|77045.000000000000|182315.599207309409|182176.559000000000|JUV-USDT||||||JUV|USDT|JUV-USDT|JUV|USDT|0.001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
KLAYUSDT|KLAY-USDT|0.230500000000|0.231300000000|798.000000000000|788.000000000000|0.230800000000|119.000000000000|0.234000000000|0.234400000000|0.223800000000|-0.013675213675|1122044.000000000000|258382.267924681669|258185.631800000000|KLAY-USDT||||||KLAY|USDT|KLAY-USDT|KLAY|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
LAZIOUSDT|LAZIO-USDT|2.638000000000|2.649000000000|51.000000000000|13.000000000000|2.640000000000|5.000000000000|2.567000000000|2.669000000000|2.525000000000|0.028437865212|74187.000000000000|191441.111901873862|191295.305000000000|LAZIO-USDT||||||LAZIO|USDT|LAZIO-USDT|LAZIO|USDT|0.001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
LEASHUSDT|LEASH-USDT|279.300000000000|281.900000000000|0.405000000000|1.152000000000|280.900000000000|0.121000000000|278.500000000000|288.800000000000|274.600000000000|0.008617594255|2403.129000000000|678474.649515427076|677991.450600000000|LEASH-USDT||||||LEASH|USDT|LEASH-USDT|LEASH|USDT|0.1|0.001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.100000000000', '1.000000000000', '10.000000000000', '100.000000000000']|1|1
LINKUSDT|LINK-USDT|20.120000000000|20.220000000000|100.000000000000|100.000000000000|20.150000000000|187.720000000000|19.980000000000|20.300000000000|19.650000000000|0.008508508509|148196.250000000000|2967610.435149766648|2965540.176200000000|LINK-USDT||||||LINK|USDT|LINK-USDT|LINK|USDT|0.01|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
LTCUSDT|LTC-USDT|70.030000000000|70.190000000000|50.000000000000|50.000000000000|70.100000000000|44.377000000000|69.890000000000|70.930000000000|69.040000000000|0.003004721706|49408.908000000000|3460940.566452900847|3458360.800140000000|LTC-USDT||||||LTC|USDT|LTC-USDT|LTC|USDT|0.01|0.001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
LUNAUSDT|LUNA-USDT|0.001000000000||10000.000000000000||0.732000000000|139.000000000000|0.705000000000|0.760000000000|0.690000000000|0.038297872340|1263195.000000000000|920157.675384608951|919472.159000000000|LUNA-USDT||||||LUNA|USDT|LUNA-USDT|LUNA|USDT|0.001|1|1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
MANAUSDT|MANA-USDT|0.500800000000|0.504300000000|266.900000000000|339.600000000000|0.502000000000|69.200000000000|0.487900000000|0.508700000000|0.486000000000|0.028899364624|1655378.400000000000|825846.369951402331|825233.759570000000|MANA-USDT||||||MANA|USDT|MANA-USDT|MANA|USDT|0.0001|0.1|0.1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
