gen_name|original_name|best_ask|quantity_ask|best_bid|quantity_bid|min_quantity|max_quantity|min_price|max_price|max_amount|min_amount|price_precision|commission_taker_percent|commission_maker_percent
GMTBTC|GMT_BTC|0.00000849|72.47840803|0.00000631|89.33883352|1|100000000|0.00000001|1|100|0.00015|8|0.1|0.1
GMTUSDT|GMT_USDT|0.388082|3903.81414238|0.378122|89.25206213|1|100000000|0.00000001|1000|500000|0.1|6|0.2|0.2
GUSDRUB|GUSD_RUB|103.2|26.37279503|101.5|75.70722938|1|500000|0.01|1000|50000000|10|2|0.3|0.3
LINKBTC|LINK_BTC|0.00039088|0.4934401|0.00038165|1.0480807|0.1|500000|0.0000001|1|100|0.0001|8|0.1|0.1
LTCRUB|LTC_RUB|6405.81|0.00014768|6390|5.03753677|0.005|10000|0.01|200000|50000000|75|2|0.3|0.3
LTCUSDT|LTC_USDT|70.28142|0.35906643|70.14|100|0.005|10000|0.01|10000|500000|1|6|0.2|0.2
LTCBTC|LTC_BTC|0.0013526|3|0.0013504|3|0.005|10000|0.00000001|1|100|0.0001|8|0.1|0.1
MKRBTC|MKR_BTC|0.04229379|0.01078554|0.03801049|0.01052341|0.001|1000|0.0001|100|100|0.000001|8|0.1|0.1
MKRUSDT|MKR_USDT|2142.14923463|0.02637979|2022.10000016|0.048959|0.001|1000|0.5|500000|500000|0.05|8|0.2|0.2
MKRDAI|MKR_DAI|2180|0.001|2010.49196347|0.00575263|0.001|1000|0.5|500000|500000|0.05|8|0.1|0.1
NEARBTC|NEAR_BTC|0.00006666|0.325|0.00006517|6.13779346|0.05|500000|0.00000001|1|100|0.0001|8|0.1|0.1
NEARUSDT|NEAR_USDT|3.4003|7.53579503|3.3915|3000|0.05|500000|0.001|10000|500000|0.5|4|0.2|0.2
NEOUSDT|NEO_USDT|13.085|400|13.072666|0.04509651|0.02|100000|0.01|50000|500000|0.1|6|0.2|0.2
NEORUB|NEO_RUB|1210|0.21|1157.23|0.7|0.02|100000|0.001|1500000|50000000|50|2|0.3|0.3
NEOBTC|NEO_BTC|0.00025636|3.915|0.0002509|10.9575|0.02|100000|0.00000001|1|100|0.001|8|0.1|0.1
OMGBTC|OMG_BTC|0.00001435|145.29238294|0.00001319|0.31607903|0.2|500000|0.00000001|1|100|0.001|8|0.1|0.1
OMGETH|OMG_ETH|0.0002606|9.31983359|0.00023015|115.41133755|0.2|500000|0.00000001|10|5000|0.01|8|0.1|0.1
ONEUSDT|ONE_USDT|0.01754995|20|0.01732|16000|1|100000000|0.001|1000|500000|1|8|0.2|0.2
ONEBTC|ONE_BTC|0.00000034|113.91721875|0.00000032|12224.82784508|1|100000000|0.00000001|1|100|0.000001|8|0.1|0.1
ONGBTC|ONG_BTC|0.00000811|6.72256475|0.0000081|2.15311572|10|1000000|0.00000001|1|10|0.00001|8|0.1|0.1
ONTBTC|ONT_BTC|0.00000504|58.38626536|0.0000049|316.77181893|1|500000|0.00000001|1|10|0.00001|8|0.1|0.1
PRQBTC|PRQ_BTC|0.00000325|118.23076926|0.00000311|131.27407632|1|100000000|0.0000001|1|100|0.0001|8|0.1|0.1
PRQUSDT|PRQ_USDT|0.16750283|6209.12692945|0.16590017|6102.21178984|1|100000000|0.001|1000|500000|1|8|0.2|0.2
QTUMUSDT|QTUM_USDT|3.384|696.1238615|3.379|1000|0.1|500000|0.00000001|10000|500000|0.1|6|0.2|0.2
QTUMBTC|QTUM_BTC|0.00006564|6.625|0.00006488|4.49961468|0.1|500000|0.00000001|1|100|0.0001|8|0.1|0.1
QTUMETH|QTUM_ETH|0.00119703|8.06321561|0.00118927|0.84324837|0.1|500000|0.00000001|100|5000|0.001|8|0.1|0.1
SHIBRUB|SHIB_RUB|0.00091636|2500028.41174086|0.000898|236369.71046771|1000|100000000|0.00000001|10|50000000|1|8|0.3|0.3
ROOBEEUSDT|ROOBEE_USDT|0.0015973|3782.56823739|0.00151585|65309.89213972|100|10000000|0.000001|1000|500000|1|8|0.2|0.2
SHIBUSDT|SHIB_USDT|0.00000995|10000000|0.00000991|7317126.99109414|1000|100000000|0.00000001|10|500000|0.01|8|0.2|0.2
SOLBTC|SOL_BTC|0.00218501|1.98631649|0.00217074|1.98895028|0.005|10000|0.00000001|1|100|0.0001|8|0.1|0.1
SOLUSDT|SOL_USDT|113.02|50|112.9857|0.76222035|0.005|10000|0.01|10000|500000|1|6|0.2|0.2
TONBTC|TON_BTC|0.00004279|96.75743164|0.00004249|76.41330804|10|10000000|0.0000001|1|100|0.00015|8|0.1|0.1
TONUSDT|TON_USDT|2.2219|500|2.220401|76.33702916|1|10000000|0.0001|1000|500000|0.01|6|0.2|0.2
TRXRUB|TRX_RUB|12|6491.45070407|11.96|983|25|50000000|0.000001|100000|50000000|0.1|4|0.3|0.3
TRXUSDT|TRX_USDT|0.13232125|193.61084221|0.1313366|193.61084221|25|50000000|0.0001|1000|500000|0.01|8|0.2|0.2
TRXBTC|TRX_BTC|0.00000256|6.37610115|0.00000251|1706.41993098|25|50000000|0.00000001|1|100|0.001|8|0.1|0.1
UNIBTC|UNI_BTC|0.000146|3.19948732|0.00014541|4.5|0.5|1000000|0.0000001|1|100|0.0001|8|0.1|0.1
USDCBTC|USDC_BTC|0.00001931|21.0215676|0.00001912|156.18867898|1|500000|0.00000001|1|100|0.0001|8|0.1|0.1
USDCETH|USDC_ETH|0.00035442|88.80613284|0.00034956|150|1|500000|0.0000001|100|1000|0.001|8|0.1|0.1
USDCUSDT|USDC_USDT|0.999105|206.67269502|0.999104|78.01687274|1|500000|0.0001|1000|500000|3|6|0.2|0.2
USDTUSDX|USDT_USDX|1.1499|50|1.126|1.13671608|1|1000000|0.5|3|500000|0.1|4|0.3|0.3
USDTRUB|USDT_RUB|91.5|1671.98468381|90.92|1.61598388|1|500000|0.01|1000|50000000|10|2|0.3|0.3
USDTKZT|USDT_KZT|442.99|79.86799999|438|505.04102204|1|500000|200|4000|500000|0.1|2|0.3|0.3
VLXBTC|VLX_BTC|0.00000039|36.49504764|0.00000038|200|10|10000000|0.00000001|0.1|100|0.00001|8|0.1|0.1
WAVESRUB|WAVES_RUB|214.2|9.99707396|211.6|0.101|0.05|500000|0.01|50000|50000000|10|2|0.3|0.3
WAVESBTC|WAVES_BTC|0.00004525|3.3585153|0.00004361|43.91599185|0.05|500000|0.000001|1|100|0.0001|8|0.1|0.1
WAVESETH|WAVES_ETH|0.00083153|0.225|0.00082987|0.02336854|0.05|500000|0.00001|30|3500|0.003|8|0.1|0.1
